"ghm","ghs","borne_basse","borne_haute","dms_n","rsavclass","noseqta","anseqta"
"01C01S","",,,28.0702199661591,"10","003","2007"
"01C03V","",,,10.0545124167171,"10","003","2007"
"01C03W","",,,25.0341588385995,"10","003","2007"
"01C04V","",,,9.94706684856753,"10","003","2007"
"01C04W","",,,25.1387452602551,"10","003","2007"
"01C05V","",,,8.55700510493477,"10","003","2007"
"01C05W","",,,14.75,"10","003","2007"
"01C06V","",,,6.50811518324607,"10","003","2007"
"01C06W","",,,7.87467105263158,"10","003","2007"
"01C08V","",,,3.93477074235808,"10","003","2007"
"01C08W","",,,10.3427835051546,"10","003","2007"
"01C09Z","",,,12.7755775577558,"10","003","2007"
"01C10Z","",,,4.92097701149425,"10","003","2007"
"01C11Z","",,,13.3087557603687,"10","003","2007"
"01C12Z","",,,12.490931076179,"10","003","2007"
"01C13Z","",,,2.58686892628585,"10","003","2007"
"01K02Z","",,,8.01347708894879,"10","003","2007"
"01K03Z","",,,7.36379018612521,"10","003","2007"
"01M01S","",,,18.2783839072622,"10","003","2007"
"01M02Z","",,,3.32862434859044,"10","003","2007"
"01M03V","",,,4.17885016613863,"10","003","2007"
"01M03W","",,,8.53372821617388,"10","003","2007"
"01M04Z","",,,4.9087786259542,"10","003","2007"
"01M05V","",,,8.50847457627119,"10","003","2007"
"01M05W","",,,15.8620013080445,"10","003","2007"
"01M06V","",,,9.57564143511125,"10","003","2007"
"01M06W","",,,14.6738799146602,"10","003","2007"
"01M07Z","",,,12.9037503278259,"10","003","2007"
"01M08V","",,,8.13383060041918,"10","003","2007"
"01M08W","",,,13.7449758331213,"10","003","2007"
"01M09Z","",,,10.427639624949,"10","003","2007"
"01M10V","",,,7.82664756446991,"10","003","2007"
"01M10W","",,,13.8767040290821,"10","003","2007"
"01M11V","",,,5.29262164014315,"10","003","2007"
"01M11W","",,,9.85773366418528,"10","003","2007"
"01M12V","",,,4.40918426024809,"10","003","2007"
"01M12W","",,,11.1248206599713,"10","003","2007"
"01M13Z","",,,6.92416452442159,"10","003","2007"
"01M14V","",,,10.5345754493227,"10","003","2007"
"01M14W","",,,14.4524021762518,"10","003","2007"
"01M15Z","",,,8.41022988505747,"10","003","2007"
"01M16Z","",,,6.35776231263383,"10","003","2007"
"01M17V","",,,4.88895508161563,"10","003","2007"
"01M17W","",,,10.8114199849737,"10","003","2007"
"01M18V","",,,7.06358885017422,"10","003","2007"
"01M18W","",,,12.4140186915888,"10","003","2007"
"01M19V","",,,5.2657151533556,"10","003","2007"
"01M19W","",,,11.2479965345462,"10","003","2007"
"01M20V","",,,2.60404821469184,"10","003","2007"
"01M20W","",,,6.86056049213944,"10","003","2007"
"01M21Z","",,,6.59885645501053,"10","003","2007"
"02C02V","",,,2.82902178952248,"10","003","2007"
"02C02W","",,,5.32776886035313,"10","003","2007"
"02C03Z","",,,4.5593335600136,"10","003","2007"
"02C04Z","",,,4.26576512455516,"10","003","2007"
