ACTE	LIBELLE
QEFA004	Tumorectomie du sein
QEFA001	Tumorectomie du sein avec curage lymphonodal axillaire
QEFA017	Mastectomie partielle
QEFA008	Mastectomie partielle avec curage lymphonodal axillaire
QEFA016	Exérèse de conduit lactifère [Exérèse de canal galactophore] [Pyramidectomie mammaire]
QEFA007	Mastectomie souscutanée avec exérèse de la plaque aréolomamelonnaire
QEFA019	Mastectomie totale
QEFA020	Mastectomie totale avec conservation des pectoraux et curage lymphonodal axillaire
QEFA005	Mastectomie totale avec exérèse des pectoraux et curage lymphonodal axillaire
QEFA010	Mastectomie totale avec curages lymphonodaux axillaire et supraclaviculaire
QEFA003	Mastectomie totale avec curages lymphonodaux axillaire et parasternal [mammaire interne]
QEFA012	Mastectomie totale élargie en surface, avec autogreffe cutanée
QEFA013	Mastectomie totale élargie en surface, avec lambeau pédiculé de muscle grand dorsal ou lambeau parascapulaire
QEFA015	Mastectomie totale élargie en surface, avec lambeau libre musculocutané
QEMA006	Reconstruction du sein par pose d'implant prothétique
QEMA020	Reconstruction du sein par lambeau cutanéograisseux libre à pédicule perforant de l'abdomen [lambeau DIEP [deep inferior epigastric perforator]] avec anastomoses vasculaires 
QEMA001	Reconstruction du sein par lambeau unipédiculé de muscle droit de l'abdomen
QEMA014	Reconstruction du sein par lambeau bipédiculé de muscle droit de l'abdomen
QEMA002	Reconstruction du sein par lambeau musculocutané libre de muscle droit de l'abdomen, avec anastomoses vasculaires
QEMA008	Reconstruction du sein par lambeau musculocutané pédiculé autre que du muscle droit de l'abdomen
QEMA011	Reconstruction du sein par dédoublement du sein restant
