ACTE	ORGANE	TYPE	CONDITIONS	LIBELLE	OBJ	GM
EBLA003	POSE ACCES VASCULAIRE	Acces vasculaire		Pose d un catheter relie à une veine profonde du membre superieur ou du cou par voie transcutanee, avec pose d un systeme diffuseur implantable sous cutane	80	O
FAFA001	ORL-STOMATO	Adenoidectomies 		Adenoidectomie avec pose unilaterale d aerateur transtympanique	90	O
FAFA002	ORL-STOMATO	Adenoidectomies 		Adenoidectomie avec pose bilaterale d aerateur transtympanique	90	O
FAFA008	ORL-STOMATO	Adenoidectomies 		Adenoidectomie	90	O
FAFA013	ORL-STOMATO	Adenoidectomies 		Adenoidectomie avec myringotomie unilaterale ou bilaterale	90	O
EFAF002	VASCULAIRE	Angioplasties membre sup		Dilatation intraluminale d une veine du membre superieur sans pose d endoprothese, par voie veineuse transcutanee	80	O
EZAF001	VASCULAIRE	Angioplasties membre sup		Dilatation intraluminale d un acces vasculaire arterioveineux d un membre sans pose d endoprothese, par voie arterielle transcutanee	80	O
EZJF002	VASCULAIRE	Angioplasties membre sup		Thromboaspiration d un acces vasculaire arterioveineux d un membre avec dilatation intraluminale sans pose d endoprothese, par voie arterielle transcutanee	80	O
EZPF004	VASCULAIRE	Angioplasties membre sup		Desobstruction mecanique d un acces vasculaire arterioveineux avec dilatation intraluminale sans pose d endoprothese, par voie vasculaire transcutanee	80	O
EZAF002	VASCULAIRE	Angioplasties peripheriques		Dilatation intraluminale d un acces vasculaire arterioveineux d un membre avec pose d endoprothese, par voie arterielle transcutanee	80	O
NGJC001	ORTHOPEDIE	Arthroscopie de la cheville		Nettoyage de l articulation tibiotalienne, par arthroscopie 	50	O
NFEC001	ORTHOPEDIE	Arthroscopies du genou hors ligamentoplasties		Reinsertion ou suture des 2 menisques du genou, par arthroscopie	75	O
NFEC002	ORTHOPEDIE	Arthroscopies du genou hors ligamentoplasties		Reinsertion ou suture d un menisque du genou, par arthroscopie	75	O
NFFC003	ORTHOPEDIE	Arthroscopies du genou hors ligamentoplasties		Meniscectomies laterale et mediale du genou, par arthroscopie	75	O
NFFC004	ORTHOPEDIE	Arthroscopies du genou hors ligamentoplasties		Meniscectomie laterale ou mediale du genou, par arthroscopie	75	O
NFJC001	ORTHOPEDIE	Arthroscopies du genou hors ligamentoplasties		Nettoyage de l articulation du genou, par arthroscopie	75	O
NFJC002	ORTHOPEDIE	Arthroscopies du genou hors ligamentoplasties		Evacuation de collection de l articulation du genou, par arthroscopie	75	O
NFPC001	ORTHOPEDIE	Arthroscopies du genou hors ligamentoplasties		Section du retinaculum patellaire lateral [aileron rotulien externe], par arthroscopie 	75	O
NFQC001	ORTHOPEDIE	Arthroscopies du genou hors ligamentoplasties		Exploration de l articulation du genou, par arthroscopie	75	O
HBED022	ORL-STOMATO	Avulsion dentaire		Autogreffe d un germe ou d une dent retenue, dans un site naturel ou prepare chirurgicalement	80	O
HBGD003	ORL-STOMATO	Avulsion dentaire		Avulsion d un odontoide inclus ou d une dent surnumeraire à l etat de germe	80	O
HBGD004	ORL-STOMATO	Avulsion dentaire		Avulsion d une troisieme molaire mandibulaire retenue ou à l etat de germe	80	O
HBGD007	ORL-STOMATO	Avulsion dentaire		Avulsion de 11 à 14 dents sur arcade, en un temps	80	O
HBGD010	ORL-STOMATO	Avulsion dentaire		Avulsion de 6 à 10 dents sur arcade, en un temps	80	O
HBGD016	ORL-STOMATO	Avulsion dentaire		Avulsion d une racine incluse	80	O
HBGD017	ORL-STOMATO	Avulsion dentaire		Avulsion d une dent ectopique	80	O
HBGD018	ORL-STOMATO	Avulsion dentaire		Avulsion d une troisieme molaire maxillaire retenue ou à l etat de germe	80	O
HBGD021	ORL-STOMATO	Avulsion dentaire		Avulsion de 3 troisiemes molaires retenues ou à l etat de germe	80	O
HBGD025	ORL-STOMATO	Avulsion dentaire		Avulsion de 2 troisiemes molaires retenues ou à l etat de germe	80	O
HBGD026	ORL-STOMATO	Avulsion dentaire		Avulsion de 2 dents temporaires retenues	80	O
HBGD029	ORL-STOMATO	Avulsion dentaire		Avulsion de 15 à 20 dents sur arcade, en un temps	80	O
HBGD038	ORL-STOMATO	Avulsion dentaire		Avulsion de 4 troisiemes molaires retenues ou à l etat de germe	80	O
HBGD042	ORL-STOMATO	Avulsion dentaire		Avulsion d une dent temporaire retenue	80	O
HBGD045	ORL-STOMATO	Avulsion dentaire		Avulsion de 21 dents sur arcade ou plus, en un temps	80	O
HBPA001	ORL-STOMATO	Avulsion dentaire		Degagement d une dent retenue ou incluse, avec pose d un dispositif de traction orthodontique et amenagement parodontal par greffe ou lambeau	80	O
HBPD002	ORL-STOMATO	Avulsion dentaire		Degagement d une dent retenue ou incluse avec pose d un dispositif de traction orthodontique sans amenagement parodontal	80	O
EGFA005	DIGESTIF	Chirurgie anale		Resection d un paquet hemorroidaire isole	40	O
EGJA001	DIGESTIF	Chirurgie anale		Evacuation d une thrombose hemorroidaire externe	40	O
HJAD001	DIGESTIF	Chirurgie anale		Dilatation ou incision de stenose anorectale	40	O
HKFA001	DIGESTIF	Chirurgie anale		Destruction et/ou exerese de tumeur benigne du canal anal	40	O
HKFA008	DIGESTIF	Chirurgie anale		Destruction et/ou exerese de lesion superficielle non tumorale de l anus	40	O
HKFA009	DIGESTIF	Chirurgie anale		Sphincteromyectomie de l anus, par abord anal	40	O
HKPA003	DIGESTIF	Chirurgie anale		Sphincterotomie interne [Leiomyotomie] laterale de l anus	40	O
HKPA006	DIGESTIF	Chirurgie anale		Incision d abces de la region anale	40	O
HKFA002	DIGESTIF	Chirurgie anale		Resection d une fissure anale infectee	40	O
HKFA004	DIGESTIF	Chirurgie anale		Excision d une fissure anale [Fissurectomie anale]	40	O
QBFA004	DIGESTIF	Chirurgie anale		Excision d une hidrosadenite suppurativeperineofessiere (maladie de Verneuil) sur moins de 30cm2	40	O
AHPA009	ORTHOPEDIE	Chirurgie canal carpien et autres liberations nerveuses (MS)		Liberation du nerf median au canal carpien, par abord direct	75	O
AHPA021	ORTHOPEDIE	Chirurgie canal carpien et autres liberations nerveuses (MS)		Liberation du nerf ulnaire au poignet et/ou à la main, par abord direct	75	O
AHPA022	ORTHOPEDIE	Chirurgie canal carpien et autres liberations nerveuses (MS)		Liberation du nerf ulnaire au coude, par abord direct	75	O
AHPA023	ORTHOPEDIE	Chirurgie canal carpien et autres liberations nerveuses (MS)		Liberation du nerf radial au coude, par abord direct	75	O
AHPA028	ORTHOPEDIE	Chirurgie canal carpien et autres liberations nerveuses (MS)		Liberation de nerf digital par abord direct, sur un rayon de la main	75	O
AHPC001	ORTHOPEDIE	Chirurgie canal carpien et autres liberations nerveuses (MS)		Liberation du nerf median au canal carpien, par videochirurgie	75	O
JKFA031	GYNECOLOGIE	Chirurgie col, vulve, vagin		Conisation du col de l uterus	80	O
JKND002	GYNECOLOGIE	Chirurgie col, vulve, vagin		Destruction de lesion du col de l uterus, du vagin, de la vulve, du perinee et de la region perianale, avec laser	80	O
NDFA002	ORTHOPEDIE	Chirurgie de l avant pied		Exerese partielle dos du pied sans interruption de la continuite, par abord direct 	80	O
NGFA002	ORTHOPEDIE	Chirurgie de l avant pied		Exerese dun kyste synovial ou dune bourse sereuse de la cheville ou du pied, par abord direct 	80	O
NHMA002	ORTHOPEDIE	Chirurgie de l avant pied		Arthroplastie par resection de larticulation ou arthrodese interphalangienne dun orteil lateral	80	O
BCFA003	OPHTALMOLOGIE	Chirurgie de la conjonctive (pterygion)		Exerese primitive de pterygion, avec autogreffe de conjonctive ou de muqueuse	95	O
BCFA004	OPHTALMOLOGIE	Chirurgie de la conjonctive (pterygion)		Exerese de lesion de la conjonctive, avec autogreffe de muqueuse	95	O
BCFA005	OPHTALMOLOGIE	Chirurgie de la conjonctive (pterygion)		Exerese de pterygion recidivant, avec autogreffe de conjonctive ou de muqueuse	95	O
BCFA006	OPHTALMOLOGIE	Chirurgie de la conjonctive (pterygion)		Exerese de pterygion recidivant, sans autogreffe	95	O
BCFA008	OPHTALMOLOGIE	Chirurgie de la conjonctive (pterygion)		Exerese de lesion de la conjonctive, sans autogreffe	95	O
BCFA009	OPHTALMOLOGIE	Chirurgie de la conjonctive (pterygion)		Exerese primitive de pterygion, sans autogreffe	95	O
MHFA001	ORTHOPEDIE	Chirurgie de la main  	geste isole	Synovectomie dune articulation metacarpophalangienne ou interphalangienne dun doigt, par abord direct	75	O
MDFA002	ORTHOPEDIE	Chirurgie de la main  	geste isole	Exerese partielle dun os de la main sans interruption de la continuite, par abord direct  	75	O
