ACTE	CCAM_LIBELLE
ADPC001	Vagotomie tronculaire, par coelioscopie 
ADPC002	Vagotomie suprasélective, par coelioscopie 
ADPC003	Vagotomie tronculaire postérieure avec séromyotomie oesogastrique antérieure, par coelioscopie
AJFC001	Sympathectomie lombale, par coelioscopie ou par rétropéritonéoscopie
AJNC001	Destruction chimique unilatérale ou bilatérale de la chaîne splanchnique, par coelioscopie 
EDCC015	Suture de plaie d'artère digestive, par coelioscopie 
EGFC001	Résection ou ligature de la veine testiculaire, par coelioscopie 
ELSC001	Ligature ou section du pédicule testiculaire [spermatique] pour cryptorchidie, par coelioscopie 
FCFC001	Curage lymphonodal [ganglionnaire] iliaque, par coelioscopie ou par rétropéritonéoscopie 
FCFC003	Curage lymphonodal [ganglionnaire] pelvien, par cœlioscopie ou par rétropéritonéoscopie
FCFC004	Curage lymphonodal [ganglionnaire] lomboaortique avec curage iliaque unilatéral ou bilatéral, par cœlioscopie ou par rétropéritonéoscopie
FCFC005	Curage lymphonodal [ganglionnaire] lomboaortique, par cœlioscopie ou par rétropéritonéoscopie
FFFC001	Splénectomie totale, par cœlioscopie
FFJC001	Évacuation de collection de la rate, par cœlioscopie
HEFA003	Œsophagectomie avec œsophagogastroplastie, par thoracotomie et par cœlioscopie
HEFA018	Œsophagectomie avec œsophagogastroplastie, par cervicotomie, thoracotomie et cœlioscopie
HEPC002	Œso-cardio-myotomie extramuqueuse sans réalisation de procédé antireflux, par cœlioscopie
HEPC003	Œso-cardio-myotomie extramuqueuse avec réalisation de procédé antireflux, par cœlioscopie
HFCC001	Suture de plaie ou de perforation de l'estomac ou du duodénum, par cœlioscopie
HFCC002	Gastrostomie cutanée, par cœlioscopie
HFCC003	Court-circuit [Bypass] gastrique pour obésité morbide, par coelioscopie 
HFCC022	Gastrojéjunostomie de dérivation [Gastro-entéro-anastomose sans résection gastrique], par cœlioscopie
HFDC001	Gastropexie chez l'enfant, par coelioscopie 
HFDC002	Gastropexie postérieure [Cardiopexie], par cœlioscopie
HFFC001	Résection partielle atypique de la paroi de l'estomac n'interrompant pas la continuité, par cœlioscopie
HFFC002	Gastrectomie partielle inférieure avec anastomose gastrojéjunale, par coelioscopie 
HFFC003	Résection de duplication gastrique, par coelioscopie 
HFFC004	Gastrectomie avec court-circuit biliopancréatique ou intestinal pour obésité morbide, par cœlioscopie
HFFC012	Gastrectomie partielle inférieure avec anastomose gastroduodénale, par coelioscopie 
HFFC017	Gastrectomie totale avec rétablissement de la continuité, par cœlioscopie
HFFC018	Gastrectomie longitudinale [Sleeve gastrectomy] pour obésité morbide, par coelioscopie
HFGC900	Ablation d'une sonde de stimulation pariétale gastrique pour obésité morbide, par coelioscopie 
HFKC001	Changement d'un anneau ajustable périgastrique pour obésité morbide, par coelioscopie 
HFLC900	Implantation souscutanée d'un stimulateur gastrique avec pose d'une sonde pariétale gastrique pour obésité morbide, par coelioscopie 
HFMC001	Confection d'une valve tubérositaire avec libération de la grande courbure gastrique, par cœlioscopie
HFMC003	Pyloroplastie ou duodénoplastie, par coelioscopie 
HFMC004	Confection d'une valve tubérositaire sans libération de la grande courbure gastrique, par cœlioscopie
HFMC006	Gastroplastie verticale calibrée pour obésité morbide, par coelioscopie 
HFMC007	Gastroplastie par pose d'anneau ajustable périgastrique pour obésité morbide, par coelioscopie
HFMC008	Repositionnement ou ablation d'un anneau ajustable périgastrique, par cœlioscopie
HFPC001	Pylorotomie extramuqueuse [Pyloromyotomie extramuqueuse], par coelioscopie 
HGAC010	Plastie d'élargissement unique ou multiple de l'intestin grêle, par cœlioscopie
HGCC003	Entéroentérostomie de dérivation, par cœlioscopie
HGCC015	Iléocolostomie de dérivation [Anastomose iléocolique sans exérèse intestinale], par cœlioscopie
HGCC026	Entérostomie cutanée, par cœlioscopie
HGCC027	Court-circuit biliopancréatique ou intestinal pour obésité morbide, par coelioscopie 
HGEC001	Détorsion intestinale ou section de bride péritonéale pour vice de rotation de l'anse intestinale primitive [mesenterium commune], par cœlioscopie
HGEC009	Réduction d'invagination intestinale aigüe, par coelioscopie 
HGFC001	Exérèse de duplication de l'intestin grêle sans résection intestinale, par coelioscopie 
HGFC002	Résection du diverticule iléal [de Meckel], par cœlioscopie
HGFC014	Résection segmentaire unique de l'intestin grêle sans rétablissement de la continuité, en dehors de l'occlusion, par cœlioscopie
HGFC016	Résection segmentaire multiple de l'intestin grêle, par cœlioscopie
HGFC021	Résection segmentaire unique de l'intestin grêle avec rétablissement de la continuité, en dehors de l'occlusion, par cœlioscopie
HGPC005	Ablation d'un cathéter de dialyse péritonéale, par cœlioscopie
HGPC006	Ablation d'un cathéter de dialyse péritonéale, par coelioscopie 
HGPC015	Libération étendue de l'intestin grêle [Entérolyse étendue] pour occlusion aigüe, par cœlioscopie
HHCC001	Suture de plaie ou de perforation du côlon, par cœlioscopie
HHCC007	Colostomie cutanée, par cœlioscopie
HHCC011	Colocolostomie de dérivation [Anastomose colocolique sans exérèse colique], par cœlioscopie
HHFA002	Colectomie gauche avec libération de l'angle colique gauche, avec rétablissement de la continuité, par cœlioscopie ou par laparotomie avec préparation par cœlioscopie
HHFA004	Colectomie totale avec conservation du rectum, avec anastomose iléorectale, par coelioscopie ou par laparotomie avec préparation par coelioscopie
HHFA005	Colectomie totale avec conservation du rectum, sans rétablissement de la continuité, par cœlioscopie ou par laparotomie avec préparation par cœlioscopie
HHFA008	Colectomie droite avec rétablissement de la continuité, par cœlioscopie ou par laparotomie avec préparation par cœlioscopie
HHFA010	Colectomie gauche sans libération de l'angle colique gauche, avec rétablissement de la continuité, par cœlioscopie ou par laparotomie avec préparation par cœlioscopie
HHFA016	Appendicectomie, par cœlioscopie ou par laparotomie avec préparation par cœlioscopie
HHFA023	Colectomie transverse, par coelioscopie ou par laparotomie avec préparation par coelioscopie 
HHFA025	Appendicectomie avec toilette péritonéale pour péritonite aigüe généralisée, par coelioscopie ou par laparotomie avec préparation par coelioscopie 
HHFA028	Coloproctectomie totale avec anastomose iléoanale, par cœlioscopie ou par laparotomie avec préparation par cœlioscopie
HHFA029	Coloproctectomie totale sans rétablissement de la continuité, par coelioscopie ou par laparotomie avec préparation par coelioscopie 
HHFC001	Exérèse de polype du côlon par coloscopie, avec contrôle coelioscopique 
HHMC001	Rétablissement secondaire de la continuité digestive après colectomie, par cœlioscopie
HHMC005	Réfection de stomie cutanée intestinale, par coelioscopie 
HHPC001	Colotomie exploratrice, par cœlioscopie
HHPC002	Colotomie à visée thérapeutique, par cœlioscopie
HJCC001	Suture de plaie ou de perforation intrapéritonéale du rectum, par cœlioscopie
HJDC001	Rectopexie, par cœlioscopie
HJFA004	Résection rectosigmoïdienne avec anastomose colorectale infrapéritonéale, par cœlioscopie ou par laparotomie avec préparation par cœlioscopie
HJFA017	Résection rectosigmoïdienne par cœlioscopie ou par laparotomie avec préparation par cœlioscopie, avec anastomose coloanale par voie anale
HJFA019	Amputation du rectum, par cœlioscopie ou par laparotomie avec préparation par cœlioscopie et par abord périnéal
HJFC001	Résection rectocolique subtotale pour aganglionose congénitale par coelioscopie, avec rétablissement de la continuité par voie anale 
HJFC002	Résection rectosigmoïdienne pour aganglionose congénitale par coelioscopie, avec rétablissement de la continuité par voie anale
HJFC003	Résection rectocolique totale pour aganglionose congénitale par coelioscopie, avec rétablissement de la continuité par voie anale 
HJFC023	Proctectomie secondaire par coelioscopie avec anastomose iléoanale par voie transanale, après colectomie totale initiale 
HJFC031	Résection rectosigmoïdienne dépassant le cul-de-sac de Douglas, sans rétablissement de la continuité, par cœlioscopie
HLCC001	Fenestration de kystes biliaires hépatiques, par cœlioscopie
HLCC002	Lobectomie hépatique gauche, par coelioscopie 
HLCC003	Résection atypique du foie, par coelioscopie 
HLFC003	Résection atypique du foie, par cœlioscopie
HLFC004	Unisegmentectomie hépatique, par coelioscopie 
HLFC027	Bisegmentectomie hépatique, par coelioscopie 
HLFC032	Trisegmentectomie hépatique, par coelioscopie 
HLFC037	Hépatectomie gauche, par coelioscopie 
HLJC001	Évacuation de collection hépatique, par cœlioscopie
HLJC003	Destruction de tumeur hépatique avec courant de radiofréquence, par coelioscopie 
HLSC012	Hémostase de lésion du foie, par cœlioscopie
HMCC001	Cholédochojéjunostomie, par coelioscopie 
HMCC002	Cholédochoduodénostomie, par coelioscopie 
HMCC003	Cholécystogastrostomie ou cholécystoduodénostomie, par cœlioscopie
HMCC013	Cholédochoduodénostomie avec gastrojéjunostomie, par coelioscopie 
HMFA003	Cholécystectomie par cœlioscopie, avec ablation de calcul de la voie biliaire principale par cholédochotomie, par laparotomie
