ACTE	LIBELLE	CHAP 1	CHAP 2	CHAP 3	CHAP 4
EHNE001	Séance de sclérose et/ou de ligature de varices oesogastriques en dehors de la période hémorragique,par endoscopie	APPAREIL CIRCULATOIRE	Actes thérapeutiques sur les veines	Actes thérapeutiques sur la veine porte et les veines digestives	Hémostase de varices oesogastriques
EHNE002	Sclérose et/ou ligature de varices oesogastriques en période hémorragique, par endoscopie	APPAREIL CIRCULATOIRE	Actes thérapeutiques sur les veines	Actes thérapeutiques sur la veine porte et les veines digestives	Hémostase de varices oesogastriques
HDQE001	Orohypopharyngoscopie avec laryngoscopie directe	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HEAE002	Dilatation antérograde de l'oesophage, par endoscopie rigide	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'oesophage	Dilatation de l'oesophage
HEAE003	Dilatation antérograde de l'oesophage, par fibroscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'oesophage	Dilatation de l'oesophage
HEFE001	Exérèse d'un polype de 1cm et plus de diamètre ou de 4 polypes ou plus de l'oesophage, de l'estomacet/ou du duodénum, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif	Exérèse endoscopique de lésion de la partie haute du tube digestif
HEFE002	Exérèse de 1 à 3 polypes de moins de 1cm de diamètre de l'oesophage, de l'estomac et/ou du duodénum,par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif	Exérèse endoscopique de lésion de la partie haute du tube digestif
HEFE003	Séance de mucosectomie de l'oesophage, de l'estomac ou du duodénum, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif	Exérèse endoscopique de lésion de la partie haute du tube digestif
HEGE001	Ablation de corps étranger de l'oesophage, par endoscopie rigide	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'oesophage	Autres actes thérapeutiques sur l'oesophage, par endoscopie
HEGE002	Ablation de corps étranger de l'oesophage, de l'estomac et/ou du duodénum, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif
HEGE003	Ablation d'une endoprothèse de l'oesophage, par endoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'oesophage	Pose, ablation et changement d'une endoprothèse de l'oesophage
HEKE001	Changement d'une endoprothèse de l'oesophage, par endoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'oesophage	Pose, ablation et changement d'une endoprothèse de l'oesophage
HELE001	Pose de guide intraoesophagien pour curiethérapie [endobrachytherapy], par fibroscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'oesophage	Autres actes thérapeutiques sur l'oesophage, par endoscopie
HELE002	Pose d'une endoprothèse de l'oesophage, par endoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'oesophage	Pose, ablation et changement d'une endoprothèse de l'oesophage
HELE900	Séance d'injection de toxine botulique au niveau du sphincter inférieur de l'oesophage, par endoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'oesophage	Autres actes thérapeutiques sur l'oesophage, par endoscopie
HELH001	Pose d'une endoprothèse de l'oesophage, avec guidage radiologique	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'oesophage	Pose, ablation et changement d'une endoprothèse de l'oesophage
HEME900	Correction d'un reflux gastrooesophagien, par endoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'oesophage	Autres actes thérapeutiques sur l'oesophage, par endoscopie
HENE001	Séance de destruction photodynamique de lésion de l'oesophage et/ou de l'estomac avec laser, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif	Destruction endoscopique de lésion de la partie haute du tube digestif
HENE002	Séance de destruction de lésion de l'oesophage et/ou de l'estomac avec laser, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif	Destruction endoscopique de lésion de la partie haute du tube digestif
HENE004	Séance de destruction de lésion de l'oesophage et/ou de l'estomac sans laser, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif	Destruction endoscopique de lésion de la partie haute du tube digestif
HENE900	Séance de destruction d'une hétérotopie de la muqueuse de l'oesophage inférieur, par endoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Actes thérapeutiques sur l'oesophage	Autres actes thérapeutiques sur l'oesophage, par endoscopie
HEQD001	Manométrie oesophagienne sur 24 heures, avec mesure du pH	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Étude des pressions dans l'appareil digestif	0
HEQD002	pH-métrie oesophagienne et/ou gastrique sur 24 heures	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Épreuves fonctionnelles de l'appareil digestif	Épreuves fonctionnelles au niveau du tube digestif
HEQD003	Manométrie oesophagienne	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Étude des pressions dans l'appareil digestif	0
HEQE001	OEsophagoscopie au tube rigide	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HEQE002	Endoscopie oeso-gastro-duodénale	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HEQE003	Endoscopie oeso-gastro-duodénale avec test à l'uréase, avant l'âge de 6 ans	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HEQE005	Endoscopie oeso-gastro-duodénale avec test à l'uréase, après l'âge de 6 ans	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Endoscopie de l'appareil digestif	Endoscopie du tube digestif
HEQJ001	Échoendoscopie oesogastrique sans biopsie	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Échoendoscopie de l'appareil digestif	0
HEQJ002	Échoendoscopie oesogastrique avec biopsie transoesogastrique guidée	APPAREIL DIGESTIF	Actes diagnostiques sur l'appareil digestif	Échoendoscopie de l'appareil digestif	0
HESE001	Hémostase de lésion de l'oesophage, de l'estomac et/ou du duodénum avec laser, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif	Hémostase endoscopique de lésion de la partie haute du tube digestif
HESE002	Hémostase de lésion de l'oesophage, de l'estomac et/ou du duodénum sans laser, par oeso-gastro-duodénoscopie	APPAREIL DIGESTIF	Actes thérapeutiques sur le tube digestif	Autres actes thérapeutiques sur la partie haute du tube digestif	Hémostase endoscopique de lésion de la partie haute du tube digestif
