ACTE	LIBELLE	TYPE
BBCE001	Dacryo-cysto-rhinostomie [DCR], par endoscopie nasale.	SE1
DZQJ001	Echographie-doppler du cœur et des vaisseaux intrathoraciques, par voie œsophagienne [échocardiographie-doppler transœsophagienne].	SE1
DZQJ008	Echographie-doppler transthoracique et échographie-doppler par voie œsophagienne du cœur et des vaisseaux intrathoraciques.	SE1
DZQJ010	Echographie-doppler transthoracique et échographie-doppler par voie œsophagienne du cœur et des vaisseaux intrathoraciques,avec injection intraveineuse de produit de contraste ultrasonore ne franchissant pas le poumon.	SE1
DZQJ011	Echographie-doppler du cœur et des vaisseaux intrathoraciques par voie œsophagienne, avec injection intraveineuse de produit de contraste ultrasonore ne franchissant pas le poumon.	SE1
GBQA002	Sinusoscopie maxillaire, par voie méatale inférieure et/ou par abord de la fosse canine [abord vestibulaire].	SE1
GDQE004	Fibroscopie du larynx et de la trachée.	SE1
GEQE002	Fibroscopie bronchique, avec prélèvement lymphonodal à l’aiguille par voie transbronchique.	SE1
GEQE004	Fibroscopie bronchique, avec lavage bronchioloalvéolaire à visée diagnostique.	SE1
GEQE006	Fibroscopie bronchique, avec biopsie pulmonaire par voie transbronchique sans guidage.	SE1
GEQE007	Fibroscopie bronchique.	SE1
GEQE009	Fibroscopie bronchique avec lavage bronchioloalvéolaire à visée diagnostique, chez un patient intubé ou trachéotomisé.	SE1
GEQE010	Fibroscopie trachéobronchique avec photodétection de lésion par autofluorescence sans laser.	SE1
GEQH002	Fibroscopie bronchique, avec biopsie pulmonaire par voie transbronchique avec guidage radiologique.	SE1
HEGE001	Ablation de corps étranger de l’œsophage, par endoscopie rigide.	SE1
HEGE002	Ablation de corps étranger de l’œsophage, de l’estomac et/ou du duodénum, par œso-gastro-duodénoscopie.	SE1
HEQE001	Oeophagoscopie au tube rigide.	SE1
HEQE002	Endoscopie œso-gastro-duodénale.	SE1
HEQE003	Endoscopie œso-gastro-duodénale avec test à l’uréase, avant l’âge de 6 ans.	SE1
HEQE005	Endoscopie œso-gastro-duodénale avec test à l’uréase, après l’âge de 6 ans.	SE1
HGNE001	Séance de destruction de lésion du duodénum, par œso-gastro-duodénoscopie.	SE1
HGQE002	Duodénoscopie par appareil à vision latérale.	SE1
HJQE001	Rectosigmoïdoscopie.	SE1
HMQH007	Cholangiographie rétrograde, par œso-gastro-duodénoscopie.	SE1
JCGE003	Ablation unilatérale ou bilatérale d’une sonde urétérale, par endoscopie rétrograde.	SE1
JCGE004	Ablation d’une endoprothèse urétérale, par endoscopie rétrograde.	SE1
JDQE001	Fibroscopie urétrovésicale.	SE1
JDQE002	Exploration endoscopique d’une néovessie intestinale.	SE1
JDQE003	Urétrocystoscopie à l’endoscope rigide.	SE1
JEGE001	Ablation de corps étranger de l’urètre, par urétroscopie.	SE1
JEHE002	Biopsie de l’urètre à la pince, par endoscopie.	SE1
AELB002	Implantation d’électrode de stimulation de la moelle épinière à visée thérapeutique, par voie transcutanée.	SE2
AHHA001	Biopsie de nerf périphérique, par abord direct.	SE2
AHHA002	Biopsie neuromusculaire, par abord direct.	SE2
BAGA001	Ablation secondaire de corps étranger de la paupière.	SE2
BBGA001	Ablation de corps étranger des voies lacrymales, par abord direct.	SE2
BDCA003	Suture d’une plaie linéaire non transfixiante de la cornée.	SE2
BEJB001	Evacuation de collection de la chambre antérieure de l’œil, par voie transsclérale ou par voie transcornéenne avec irrigation-aspiration automatisée.	SE2
BEJB002	Evacuation de collection de la chambre antérieure de l’œil, par voie transsclérale ou par voie transcornéenne sans irrigation-aspiration automatisée.	SE2
BELB001	Injection de substance inerte ou organique dans la chambre antérieure de l’œil, par voie transcornéenne [reformation de la chambre antérieure].	SE2
BEPA001	Libération de synéchies et/ou de brides du segment antérieur de l’œil, par kératotomie.	SE2
BGHA001	Biopsie rétinochoroïdienne.	SE2
BGJB001	Evacuation de collection de la choroïde, par voie transsclérale.	SE2
BGLB001	Injection d’agent pharmacologique dans le corps vitré.	SE2
BGLB002	Injection de gaz dans le corps vitré.	SE2
BKLB001	Injection thérapeutique intraorbitaire, rétrobulbaire ou latérobulbaire, d’agent pharmacologique.	SE2
CAEA002	Repositionnement de tout ou partie de l’auricule, sans anastomose vasculaire.	SE2
CAFA006	Excision de chondrite de l’auricule.	SE2
CBLD001	Pose bilatérale d’aérateur transtympanique.	SE2
CBLD003	Pose unilatérale d’aérateur transtympanique.	SE2
EBGA001	Ablation d’un système diffuseur implanté et du cathéter relié à une veine profonde du membre supérieur ou du cou.	SE2
EBHA001	Biopsie unilatérale ou bilatérale de l’artère temporale superficielle, par abord direct.	SE2
EBNE002	Coagulation unilatérale de l’artère sphénopalatine, par endoscopie nasale.	SE2
EGFA007	Excision d’une thrombose hémorroïdaire.	SE2
FCFA012	Exérèse de nœud [ganglion] lymphatique du cou à visée diagnostique, par cervicotomie.	SE2
FCFA028	Exérèse de nœud [ganglion] lymphatique du cou à visée thérapeutique, par cervicotomie.	SE2
GBJD002	Evacuation de collection du sinus maxillaire, par voie méatale inférieure.	SE2
JAHB001	Biopsie du rein, par voie transcutanée sans guidage.	SE2
JAHJ002	Ponction de kyste du rein, par voie transcutanée avec guidage échographique.	SE2
JAHJ006	Biopsie du rein sur une cible, par voie transcutanée avec guidage échographique.	SE2
JAKD001	Changement d’une sonde de néphrostomie ou de pyélostomie.	SE2
JCKD001	Changement d’une sonde d’urétérostomie cutanée.	SE2
JDLF001	Pose d’un cathéter intravésical, par voie transcutanée suprapubienne.	SE2
