ACTE	LIBELLE
HPMA002	Reparation de perte de substance par lambeau libre de grand omentum [epiploon], avec anastomoses vasculaires
HPMA003	Reparation de perte de substance par lambeau pedicule de grand omentum [epiploon], en situation extraabdominale
PZMA004	Reparation par lambeau libre cutane, fascial, fasciocutane ou souscutane, musculaire, musculocutane, musculotendineux ou osseux avec anastomoses vasculaires
PZMA005	Reparation par lambeau libre osteocutane, osteomusculaire ou osteo-musculo-cutane, avec anastomoses vasculaires
QAEA002	Greffe cutanee pour brulure de l'extremite cephalique, sur moins de 1% de la surface corporelle
QAEA003	Greffe cutanee pour brulure de l'extremite cephalique, sur plus de 12,5% de la surface corporelle
QAEA004	Greffe cutanee pour brulure de l'extremite cephalique, sur 10% a 12,5% de la surface corporelle
QAEA006	Greffe cutanee pour brulure de l'extremite cephalique, sur 3% a 4% de la surface corporelle
QAEA008	Greffe cutanee pour brulure de l'extremite cephalique, sur 4% a 5% de la surface corporelle
QAEA009	Greffe cutanee pour brulure de l'extremite cephalique, sur 5% a 7,5% de la surface corporelle
QAEA010	Greffe cutanee pour brulure de l'extremite cephalique, sur 1% a 2% de la surface corporelle
QAEA011	Greffe cutanee pour brulure de l'extremite cephalique, sur 2% a 3% de la surface corporelle
QAEA012	Greffe cutanee pour brulure de l'extremite cephalique, sur 7,5% a 10% de la surface corporelle
QAEA014	Microgreffes de peau totale sur 6 cicatrices du visage, ou plus
QAEA015	Microgreffes de peau totale sur 1 a 5 cicatrices du visage
QAMA002	Reparation de perte de substance de l'extremite cephalique par lambeau local ou regional muqueux, cutane ou fasciocutane, a pedicule vasculonerveux non individualise ou non individualisable [lambeau "au hasard"]
QAMA003	Reparation de perte de substance de l'extremite cephalique par lambeau frontal a pedicule inferieur
QAMA004	Reparation de perte de substance de l'extremite cephalique par lambeau de fascia temporal avec autogreffe de peau
QAMA005	Reparation de perte de substance de l'extremite cephalique par lambeau de fascia temporal
QAMA008	Reparation de perte de substance de l'extremite cephalique par lambeau scalpant
QAMA012	Reparation de perte de substance de l'extremite cephalique par lambeau de muscle temporal avec autogreffe de peau
QAMA013	Reparation de perte de substance de l'extremite cephalique par lambeau musculaire ou musculocutane
QAMA015	Reparation de perte de substance du cuir chevelu par lambeau pedicule
