ACTE	LIBELLE
ZZNL061	Séance d irradiation externe par machine de puissance inférieure à 5 mégavolts [MV]
ZZNL053	Séance d irradiation externe par accélérateur linéaire de puissance égale ou supérieure à 5 mégavolts [MV], sans système de contrôle du positionnement
ZZNL064	Séance d irradiation externe par accélérateur linéaire de puissance égale ou supérieure à 5 mégavolts [MV], équipé d imagerie portale
ZZNL048	Séance d irradiation externe par accélérateur linéaire de puissance égale ou supérieure à 5 mégavolts [MV], équipé d un collimateur multilame
ZZNL065	Séance d irradiation externe par accélérateur linéaire de puissance égale ou supérieure à 5 mégavolts [MV], équipé d un collimateur multilame et d imagerie portale
ZZNL062	Séance d irradiation externe par accélérateur linéaire de puissance égale ou supérieure à 5 mégavolts [MV], équipé d un système de repositionnement 
ZZNL063	Séance d irradiation externe par accélérateur linéaire de puissance égale ou supérieure à 5 mégavolts [MV], équipé d un système de repositionnement guidé par imagerie [IGRT]
ZZNL020	Séance d irradiation externe par machine produisant des photons d énergie inférieure à 5 MV par 1 ou 2 faisceaux, sans utilisation de modificateur de faisceau
ZZNL021	Séance d irradiation externe par machine produisant des photons d énergie inférieure à 5 MV par 1 ou 2 faisceaux, avec utilisation de modificateur de faisceau
ZZNL023	Séance d irradiation externe par machine produisant des photons d énergie inférieure à 5 MV par 3 ou 4 faisceaux, sans utilisation de modificateur de faisceau
ZZNL024	Séance d irradiation externe par machine produisant des photons d énergie inférieure à 5 MV par 3 ou 4 faisceaux, avec utilisation de modificateur de faisceau
ZZNL025	Séance d irradiation externe par machine produisant des photons d énergie inférieure à 5 MV par 5 faisceaux ou plus, sans utilisation de modificateur de faisceau
ZZNL026	Séance d irradiation externe par machine produisant des photons d énergie inférieure à 5 MV par 5 faisceaux ou plus, avec utilisation de modificateur de faisceau
ZZNL027	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 5 MV et inférieure à 15 MV par 1 ou 2 faisceaux, sans utilisation de modificateur de faisceau
ZZNL028	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 5 MV et inférieure à 15 MV par 1 ou 2 faisceaux, avec utilisation de modificateur de faisceau
ZZNL900	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 5 MV et inférieure à 15 MV par 1 ou 2 faisceaux, avec utilisation dynamique de collimateur multilame [modulation d intensité]
ZZNL030	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 5 MV et inférieure à 15 MV par 3 ou 4 faisceaux, sans utilisation de modificateur de faisceau
ZZNL031	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 5 MV et inférieure à 15 MV par 3 ou 4 faisceaux, avec utilisation de modificateur de faisceau
ZZNL905	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 5 MV et inférieure à 15 MV par 3 ou 4 faisceaux, avec utilisation dynamique de collimateur multilame [modulation d intensité]
ZZNL033	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 5 MV et inférieure à 15 MV par 5 faisceaux ou plus, sans utilisation de modificateur de faisceau
ZZNL034	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 5 MV et inférieure à 15 MV par 5 faisceaux ou plus, avec utilisation de modificateur de faisceau
ZZNL902	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 5 MV et inférieure à 15 MV par 5 faisceaux ou plus, avec utilisation dynamique de collimateur multilame [modulation d intensité]
ZZNL036	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 1 ou 2 faisceaux, sans utilisation de modificateur de faisceau
ZZNL037	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 1 ou 2 faisceaux, avec utilisation de modificateur de faisceau
ZZNL904	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 1 ou 2 faisceaux, avec utilisation dynamique de collimateur multilame [modulation d intensité]
ZZNL039	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 3 ou 4 faisceaux, sans utilisation de modificateur de faisceau
ZZNL040	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 3 ou 4 faisceaux, avec utilisation de modificateur de faisceau
ZZNL906	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 3 ou 4 faisceaux, avec utilisation dynamique de collimateur multilame [modulation d intensité]
ZZNL042	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 5 faisceaux ou plus, sans utilisation de modificateur de faisceau
ZZNL043	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 5 faisceaux ou plus, avec utilisation de modificateur de faisceau
ZZNL903	Séance d irradiation externe par machine produisant des photons d énergie égale ou supérieure à 15 MV par 5 faisceaux ou plus, avec utilisation dynamique de collimateur multilame [modulation d intensité]
ZZNL050	Séance d irradiation externe par accélérateur linéaire avec modulation d intensité, sans contrôle de la position de la cible
ZZNL054	Séance d irradiation externe par accélérateur linéaire avec modulation d intensité, avec contrôle de la position de la cible
