ACTE	LIBELLE
ZZMK014	Préparation à une irradiation externe sans dosimétrie, avec simulation sous l appareil de traitement
ZZMK002	Préparation à une irradiation externe sans dosimétrie, avec simulation à l aide d un simulateur, d un simulateur-scanographe ou d un scanographe à fonction simulateur intégrée
ZZMK013	Préparation à une irradiation externe sans dosimétrie, avec simulation à l aide d un simulateur, d un simulateur-scanographe ou d un scanographe à fonction simulateur intégrée et fabrication de cache personnalisé focalisé et/ou paramétrage d un collimateur multilame
ZZMK026	Préparation à une irradiation externe avec repérage par simulateur-scanographe, dosimétrie bidimensionnelle et simulation à l aide d un simulateur-scanographe
ZZMK028	Préparation à une irradiation externe avec repérage par simulateur-scanographe, dosimétrie bidimensionnelle, simulation à l aide d un simulateur-scanographe et fabrication de cache personnalisé focalisé et/ou paramétrage d un collimateur multilame
ZZMK001	Préparation à une irradiation externe avec repérage par scanographe, dosimétrie bidimensionnelle et simulation à l aide d un simulateur ou d un scanographe à fonction simulateur intégrée
ZZMK017	Préparation à une irradiation externe avec repérage par scanographe, dosimétrie bidimensionnelle, simulation à l aide d un simulateur ou d un scanographe à fonction simulateur intégrée et fabrication de cache personnalisé focalisé et/ou paramétrage d un collimateur multilame
ZZMK006	Préparation à une irradiation externe avec repérage par conformateur, dosimétrie bidimensionnelle sur 1 ou 2 coupes et simulation à l aide d un simulateur, d un simulateur-scanographe ou d un scanographe à fonction simulateur intégrée
ZZMK012	Préparation à une irradiation externe avec repérage par conformateur, dosimétrie bidimensionnelle sur 1 ou 2 coupes, simulation à l aide d un simulateur, d un simulateur-scanographe ou d un scanographe à fonction simulateur intégrée et fabrication de cache personnalisé focalisé et/ou paramétrage d un collimateur multilame
ZZMK010	Préparation à une irradiation externe avec repérage par conformateur, dosimétrie bidimensionnelle sur 3 coupes ou plus et simulation à l aide d un simulateur, d un simulateur-scanographe ou d un scanographe à fonction simulateur intégrée
ZZMK004	Préparation à une irradiation externe avec repérage par conformateur, dosimétrie bidimensionnelle sur 3 coupes ou plus, simulation à l aide d un simulateur, d un simulateur-scanographe ou d un scanographe à fonction simulateur intégrée et fabrication de cache personnalisé focalisé et/ou paramétrage d un collimateur multilame
ZZMK015	Préparation à une irradiation externe avec repérage par conformateur et analyse des données acquises par échographie, dosimétrie bidimensionnelle sur 3 coupes ou plus et simulation à l aide d un simulateur, d un simulateur-scanographe ou d un scanographe à fonction simulateur intégrée
ZZMK005	Préparation à une irradiation externe avec repérage par conformateur et analyse des données acquises par échographie, dosimétrie bidimensionnelle sur 3 coupes ou plus et simulation à l aide d un simulateur, d un simulateur-scanographe ou d un scanographe à fonction simulateur intégrée
ZZMK003	Préparation à une irradiation externe avec repérage par simulateur-scanographe, dosimétrie bidimensionnelle sur 3 coupes ou plus et simulation à l aide d un simulateur-scanographe
ZZMK007	Préparation à une irradiation externe avec repérage par simulateur-scanographe, dosimétrie bidimensionnelle sur 3 coupes ou plus, simulation à l aide d un simulateur-scanographe et fabrication de cache personnalisé focalisé et/ou paramétrage d un collimateur multilame
ZZMK016	Préparation à une irradiation externe avec repérage par scanographe, dosimétrie tridimensionnelle sans HDV, simulation à l aide d un simulateur ou d un scanographe à fonction simulateur intégrée et fabrication de cache personnalisé focalisé et/ou paramétrage d un collimateur multilame
ZZMK011	Préparation à une irradiation externe avec repérage par scanographe, dosimétrie tridimensionnelle sans HDV, simulation virtuelle utilisant la fonction "vue de la source" [beam s eye view] [BEV] et la restitution tridimensionnelle, et fabrication de cache personnalisé focalisé et/ou paramétrage d un collimateur multilame
