ACTE	LIBELLE	ORGANE	MARQUEUR
DEQP007	Surveillance continue E.C.G. + TA + SpO2	CARDIO-VASCULAIRE	
EQQP011	Surveillance continue PA ou PVC par voie invasive	CARDIO-VASCULAIRE	
EQQP012	Surveillance continue par cathéter Swan-ganz	CARDIO-VASCULAIRE	
EQQJ001	surveillance du débit cardiaque par doppler oesophagien	CARDIO-VASCULAIRE	
EPLF002	Pose d un cathéter veineux central	CARDIO-VASCULAIRE	
ENLF001	pose de cathéter artériel	CARDIO-VASCULAIRE	
EQLF004	pose de dispositif de mesure pression débit cardiaque (Swan Ganz)	CARDIO-VASCULAIRE	
DZQM005	Echograhie doppler cardiaque Trans Thoracique au lit	CARDIO-VASCULAIRE	
DZQJ006	Echograhie doppler cardiaque Trans Oesophagienne au lit	CARDIO-VASCULAIRE	
EQLF001	Administration de Dopa ou Dobu  inf. 8 mcg / Kg / min	CARDIO-VASCULAIRE	
EQLF003	Administration de Dopa ou Dobu sup. 8 mcg / Kg / min ou Adre ou Noradre	CARDIO-VASCULAIRE	M
EQLF002	Remplissage vasculaire sup. 50 ml / Kg en moins de 24 H	CARDIO-VASCULAIRE	M
DERP004	Choc électrique externe en urgence	CARDIO-VASCULAIRE	M
DKMD001	Ressuscitation cardiorespiratoire en dehors d un bloc médicotechnique	CARDIO-VASCULAIRE	M
DKMD002	Ressuscitation cardiorespiratoire +/- C.E.E. dans bloc médico-technique	CARDIO-VASCULAIRE	M
DERP005	Stimulation cardiaque temporaire, par voie veineuse transcutanée	CARDIO-VASCULAIRE	M
GDLD001	masque laryngé ou Combitube	RESPIRATOIRE	
GELD002	Intubation en dehors d un plateau technique	RESPIRATOIRE	
GELD003	instillation de surfactant exogène	RESPIRATOIRE	
GELD004	Intubation trachéale	RESPIRATOIRE	
GELE001	technique intubation difficile pour une AG	RESPIRATOIRE	
GELE004	technique intubation difficile	RESPIRATOIRE	
GELF001	Trachéotomie percutanée	RESPIRATOIRE	
GEPA004	Trachéotomie, par cervicotomie	RESPIRATOIRE	
GEHD001	Combicath (prel protégé à l aveugle)	RESPIRATOIRE	
GEQE009	Fibroscopie + LBA	RESPIRATOIRE	
GEQE012	Fibroscopie bronchique sur patient intubé	RESPIRATOIRE	
GEJE003	fibroaspiration sur patient intubé	RESPIRATOIRE	
GEJE001	Fibroaspiration sur patient non intubé	RESPIRATOIRE	
GGJB002	Ponction pleurale évacuatrice	RESPIRATOIRE	
GGJB001	Drainage pleural	RESPIRATOIRE	
GLLD017	Oxygénothérapie + SpO2 par 24 heures / aerosol thérapeutique	RESPIRATOIRE	
GLLD003	VNI sans AI, avec PEP, par 24 heures / CPAP	RESPIRATOIRE	M
GLLD002	VNI discontinue	RESPIRATOIRE	M
GLLD012	VNI continue	RESPIRATOIRE	M
