ACTES	LIBELLE
BKGA007	Exentération de l orbite
BKGA006	Exentération de l orbite étendue aux structures musculaires adjacentes et/ou aux parois osseuses, sans comblement
BKGA004	Exentération de l orbite étendue aux structures musculaires adjacentes et/ou aux parois osseuses, avec comblement par autogreffe cutanée et lambeau musculaire temporal
BKGA001	Ablation d un implant intraorbitaire, après énucléation ou éviscération du bulbe [globe] oculaire
BKMA003	Reconstruction partielle de la cavité orbitaire par autogreffe
BKMA001	Reconstruction totale de la cavité orbitaire par autogreffe
BKMA002	Reconstruction orbitopalpébrale par matériau inerte et/ou autogreffe, après exentération de l orbite
BKMA004	Restauration du volume orbitaire par matériau inerte et/ou autogreffe
BKMP001	Moulage de la cavité de l orbite pour fabrication de conformateur ou de prothèse d expansion orbitaire, sous anesthésie générale ou locorégionale
CAFA006	Excision de chondrite de l auricule
CAFA009	Exérèse de lésion osseuse oblitérante du méat acoustique externe
CAFA011	Exérèse partielle du méat acoustique externe
CAFA002	Exérèse partielle non transfixiante de l auricule
CAFA005	Exérèse partielle transfixiante de l auricule
CAFA003	Exérèse totale de l auricule, sans exérèse du cartilage du méat acoustique externe
CAFA007	Exérèse totale de l auricule et du cartilage du méat acoustique externe
CAFA004	Exérèse de l oreille externe élargie à l oreille moyenne
CAFA010	Exérèse de l oreille externe élargie à la glande parotide et à la fosse infratemporale
CAFA001	Exérèse de l oreille externe élargie au rocher
CAFA008	Exérèse de l oreille externe élargie au rocher, à la glande parotide et à la fosse infratemporale
FCFA012	Exérèse de n oeud [ganglion] lymphatique du cou à visée diagnostique, par cervicotomie
FCFA021	Exérèse de n oeud [ganglion] lymphatique des membres à visée diagnostique, par abord direct
FCFA028	Exérèse de n oeud [ganglion] lymphatique du cou à visée thérapeutique, par cervicotomie
FCFA016	Curage lymphonodal [ganglionnaire] cervical partiel unilatéral, par cervicotomie
FCFA020	Curage lymphonodal [ganglionnaire] cervical partiel bilatéral, par cervicotomie
FCFA008	Curage lymphonodal [ganglionnaire] cervical complet unilatéral, par cervicotomie
FCFA027	Curage lymphonodal [ganglionnaire] cervical complet unilatéral, élargi aux muscles profonds et/ou aux nerfs du cou, à l artère carotide externe, à la glande parotide, par cervicotomie
FCFA025	Curage lymphonodal [ganglionnaire] cervical complet unilatéral avec curage partiel controlatéral, par cervicotomie
FCFA013	Curage lymphonodal [ganglionnaire] cervical complet bilatéral, par cervicotomie
FCFA005	Curage lymphonodal [ganglionnaire] cervical complet et médiastinorécurrentiel unilatéral, par cervicotomie
FCFA009	Curage lymphonodal [ganglionnaire] cervical complet et médiastinorécurrentiel bilatéral, par cervicotomie
FCFA003	Exérèse de lymphangiome cervical avec extension médiastinale, par cervicotomie
FCFA026	Exérèse de lymphangiome cervicofacial sans dissection du nerf facial
FCFA015	Exérèse de lymphangiome cervicoparotidien
FCFA014	Exérèse de lymphangiome cervicoparotidien avec extension buccopharyngée
FCFA023	Exérèse de lymphangiome cervicoparotidien avec extension buccopharyngée et médiastinale, par cervicotomie
FCFC002	Exérèse de n oeud [ganglion] lymphatique du médiastin, par thoracoscopie ou par médiastinoscopie
FCFA002	Curage lymphonodal [ganglionnaire] médiastinal supérieur, par cervicotomie
FCFA004	Curage lymphonodal [ganglionnaire] médiastinal unilatéral ou bilatéral, par thoracotomie
FCFC003	Curage lymphonodal [ganglionnaire] pelvien, par c oelioscopie ou par rétropéritonéoscopie
FCFA006	Curage lymphonodal [ganglionnaire] pelvien, par laparotomie
FCFC001	Curage lymphonodal [ganglionnaire] iliaque, par c oelioscopie ou par rétropéritonéoscopie
FCFA019	Curage lymphonodal [ganglionnaire] iliaque unilatéral ou bilatéral, par laparotomie
FCFC005	Curage lymphonodal [ganglionnaire] lomboaortique, par c oelioscopie ou par rétropéritonéoscopie
FCFA010	Curage lymphonodal [ganglionnaire] lomboaortique, par laparotomie
FCFC004	Curage lymphonodal [ganglionnaire] lomboaortique avec curage iliaque unilatéral ou bilatéral, par c oelioscopie ou par rétropéritonéoscopie
FCFA022	Curage lymphonodal [ganglionnaire] lomboaortique avec curage iliaque unilatéral ou bilatéral, par laparotomie
FCFA018	Exérèse de n oeud [ganglion] lymphatique des membres à visée thérapeutique, par abord direct
FCFA029	Curage lymphonodal [ganglionnaire] axillaire, par abord direct
FCFA011	Curage lymphonodal [ganglionnaire] inguinal, par abord direct
FCFA007	Lymphangectomie partielle ou totale d un membre, par abord direct
GAMA019	Réparation de perte de substance du nez par autogreffe composée d auricule
GAMA018	Réparation de perte de substance du nez par lambeau local
GAMA012	Réparation de perte de substance du nez par lambeau régional
GAMA002	Réparation de perte de substance du nez par lambeau frontal à pédicule inférieur
GAMA014	Réparation de perte de substance du nez par lambeau scalpant
GAMA006	Réparation de perte de substance du nez par lambeau scalpant doublé par lambeau en charnière, lambeau frontal, et/ou autogreffe
GAMA023	Réparation de perte de substance du nez par lambeau brachial ou antébrachial à pédicule transitoire
GAMA021	Reconstruction du nez, de lhéminez ou de la pointe de nez avec armature ostéochondrale, lambeau de couverture cutanée et lambeau de doublure muqueuse
GAMA008	Rhinoplastie primitive de la pointe
GAMA003	Rhinoplastie sans ostéotomie, avec autogreffe de cartilage de septum nasal
GAMA024	Rhinoplastie avec ostéotomie, sans autogreffe de cartilage
GAMA013	Rhinoplastie avec ostéotomie et autogreffe de cartilage de septum nasal
GAMA001	Rhinoseptoplastie sans ostéotomie, sans autogreffe de cartilage
GAMA020	Rhinoseptoplastie sans ostéotomie, avec autogreffe de cartilage de septum nasal
GAMA004	Rhinoseptoplastie avec ostéotomie, sans autogreffe de cartilage
GAMA016	Rhinoseptoplastie avec ostéotomie et autogreffe de cartilage de septum nasal
GAMA010	Rhinoseptoplastie avec autogreffe osseuse et cartilagineuse
GAMA005	Plastie ostéo-cutanéo-cartilagineuse pour sténose narinaire
GAMA015	Plastie narinaire pour collapsus de la valve nasale interne
GAMA009	Plastie narinaire pour collapsus de la valve nasale interne, avec septoplastie
GAMA022	Correction secondaire du résultat esthétique d une rhinoplastie ou d une rhinoseptoplastie
GAME001	Turbinoplastie ou turbinectomie inférieure et/ou moyenne unilatérale ou bilatérale, par endoscopie
GBBA002	Comblement préimplantaire sousmuqueux du sinus maxillaire
GBBA001	Exclusion unilatérale ou bilatérale du sinus frontal par résection de la paroi postérieure [Cranialisation du sinus frontal]
GBPE003	Méatotomie nasale inférieure bilatérale, par endoscopie
GBPE001	Méatotomie nasale moyenne, par endoscopie
GBPA004	Sinusotomie maxillaire, par abord de la fosse canine [abord vestibulaire]
GBPA002	Sinusotomie maxillaire, par abord de la fosse canine [abord vestibulaire] et par voie méatale moyenne
GBPA001	Sinusotomie maxillaire par abord de la fosse canine [abord vestibulaire], avec sinusotomie ethmoïdale et/ou sphénoïdale
GBPA003	Sinusotomie frontale unilatérale ou bilatérale avec résection du septum et du plancher nasaux, par endoscopie nasale ou par abord direct
GBPE002	Marsupialisation de mucocèle du sinus ethmoïdal et/ou du sinus frontal, par endoscopie
GCFD001	Exérèse de lésion du rhinopharynx, par voie nasale et/ou par voie buccale sans laser
GCFD002	Exérèse de lésion du rhinopharynx, par voie nasale et/ou par voie buccale avec laser
GCFA005	Exérèse de lésion du rhinopharynx, par abord transpalatin sans laser
GCFA003	Exérèse de lésion du rhinopharynx, par abord transpalatin avec laser
GCFA007	Exérèse de lésion du rhinopharynx et/ou de la fosse infratemporale, par abord transmaxillaire
GCFA004	Exérèse de lésion du rhinopharynx et/ou de la fosse infratemporale, par abord transmandibulaire
GCFA006	Exérèse de lésion du rhinopharynx et/ou de la fosse infratemporale, par abord transmaxillaire et par abord transmandibulaire
GCFA001	Exérèse de lésion du rhinopharynx et/ou de la fosse infratemporale, par abord préauriculaire et/ou par abord transzygomatique
GCFA002	Exérèse de lésion du rhinopharynx et/ou de la fosse infratemporale, par abord transpétreux antérieur
HAFA008	Exérèse non transfixiante de lésion de lèvre
HAFA020	Exérèse transfixiante de lésion de lèvre, ou exérèse d une commissure labiale
HAFA031	Exérèse d une lèvre débordant sur une ou plusieurs unités adjacentes
HAFA014	Vermillonectomie avec reconstruction de lèvre par lambeau muqueux rétrolabial
HAFA028	Résection de cicatrice de lèvre
HAFA030	Résection de lèvre, pour traitement palliatif de la paralysie faciale
HAFA015	Exérèse de lésion de la muqueuse de la bouche ou de l oropharynx de moins de 2 cm de grand axe, par abord intrabuccal
HAFA032	Exérèse de lésion de la muqueuse de la bouche ou de l oropharynx de 2 cm à 4 cm de grand axe, par abord intrabuccal
HAFA019	Exérèse de lésion de la muqueuse de la bouche ou de l oropharynx de plus de 4 cm de grand axe, par abord intrabuccal
HAFA021	Exérèse non transfixiante de lésion infiltrante de la joue, par abord intrabuccal
HAFA022	Exérèse transfixiante de lésion de la joue, par abord facial
HAFA034	Exérèse de kyste du plancher de la bouche, par abord intrabuccal
HAFA009	Exérèse de kyste du plancher de la bouche, par abord intrabuccal et par abord facial
HAFA023	Glossectomie partielle de langue mobile, par abord intrabuccal
HAFA001	Glossectomie partielle de base, par cervicotomie
HAFA005	Exérèse partielle de la base de la langue et/ou du sillon amygdaloglosse, par abord intrabuccal
HAFA013	Glossectomie totale de langue mobile, par abord intrabuccal
HAFA003	Glossectomie totale de langue mobile, par abord cervicofacial
HAFA012	Glossectomie totale de base
HAFA029	Glossectomie totale de base de langue et de langue mobile
HAFA016	Glossectomie totale avec pharyngolaryngectomie totale
HAFA007	Pelvectomie orale partielle, par abord intrabuccal
HAFA006	Pelviglossectomie de langue mobile, par abord intrabuccal
HAFA027	Pelviglossectomie de langue mobile, par abord cervicofacial
HAFA033	Pelvimandibulectomie non interruptrice, par abord intrabuccal
