ACTE	LIBELLE
HMGH003	Ablation ou changement d'endoprothèse biliaire, par un drain transcutané déjà en place avec guidage échographique et/ou radiologique
HMGH002	Ablation ou changement d'endoprothèse biliaire, par voie transcutanée avec guidage échographique et/ou radiologique
HMKE001	Changement d'une endoprothèse biliaire, par oeso-gastro-duodénoscopie
HEKE001	Changement d'une endoprothèse de l'oesophage, par endoscopie
JEKE001	Changement d'une endoprothèse de l'urètre, par endoscopie
HNKE001	Changement d'une endoprothèse du conduit pancréatique, par oeso-gastro-duodénoscopie
HGKE001	Changement d'une endoprothèse du duodénum, par oeso-gastro-duodénoscopie
JCKH001	Changement d'une endoprothèse urétérale par une néphrostomie déjà en place, avec guidage radiologique
JCKE002	Changement d'une endoprothèse urétérale, par endoscopie rétrograde
HMKE002	Changement de plusieurs endoprothèses biliaires, par oeso-gastro-duodénoscopie
EZMH001	Contrôle radiologique secondaire de perméabilité et/ou de position d'un dispositif d'accès vasculaire ou d'une endoprothèse vasculaire, par injection de produit de contraste
HZMP002	Contrôle radiologique secondaire de position et/ou de fonctionnement d'une sonde digestive, d'un drain biliaire ou d'une endoprothèse biliaire avec opacification par produit de contraste
EHCF002	Création d'un court-circuit [shunt] portosystémique intrahépatique par pose d'endoprothèse, par voie veineuse transcutanée
EZAF002	Dilatation intraluminale d'un accès vasculaire artérioveineux d'un membre avec pose d'endoprothèse, par voie vasculaire transcutanée
ENAF001	Dilatation intraluminale d'un pontage artériel non anatomique des membres avec pose d'endoprothèse, par voie artérielle transcutanée
DDAF008	Dilatation intraluminale d'un vaisseau coronaire avec artériographie coronaire, avec pose d'endoprothèse, par voie artérielle transcutanée
DDAF006	Dilatation intraluminale d'un vaisseau coronaire avec pose d'endoprothèse, par voie artérielle transcutanée
EDAF005	Dilatation intraluminale d'une artère digestive avec pose d'endoprothèse, par voie artérielle transcutanée
EEAF002	Dilatation intraluminale d'une artère du membre inférieur avec dilatation intraluminale de l'artère iliaque commune et/ou de l'artère iliaque externe homolatérale avec pose d'endoprothèse, par voie artérielle transcutanée
EEAF004	Dilatation intraluminale d'une artère du membre inférieur avec pose d'endoprothèse, par voie artérielle transcutanée
ECAF001	Dilatation intraluminale d'une artère du membre supérieur avec pose d'endoprothèse, par voie artérielle transcutanée
