CODE	LIBELLE
C000	Tumeur maligne de la lèvre supérieure, (bord libre)
C001	Tumeur maligne de la lèvre inférieure, (bord libre)
C002	Tumeur maligne de la lèvre, sans précision, bord libre
C003	Tumeur maligne de la lèvre supérieure, face interne
C004	Tumeur maligne de la lèvre inférieure, face interne
C005	Tumeur maligne de la lèvre, sans précision, face interne
C006	Tumeur maligne de la commissure des lèvres
C008	Tumeur maligne à localisations contiguës de la lèvre
C009	Tumeur maligne de la lèvre, sans précision
C01	Tumeur maligne de la base de la langue
C020	Tumeur maligne de la face dorsale de la langue
C021	Tumeur maligne de la point et du bord latéral de la langue
C022	Tumeur maligne de la face antérieure de la langue
C023	Tumeur maligne des deux tiers antérieurs de la langue, sans précision
C024	Tumeur maligne d'une amygdale linguale
C028	Tumeur maligne à localisations contiguës de la langue
C029	Tumeur maligne de la langue, sans précision
C030	Tumeur maligne de la gencive supérieure
C031	Tumeur maligne de la gencive inférieure
C039	Tumeur maligne de la gencive, sans précision
C040	Tumeur maligne du plancher antérieur de la bouche
C041	Tumeur maligne du plancher latéral de la bouche
C048	Tumeur maligne à localisations contiguës du plancher de la bouche
C049	Tumeur maligne du plancher de la bouche, sans précision
C050	Tumeur maligne de la voûte palatine
C051	Tumeur maligne du voile du palais
C052	Tumeur maligne de la luette
C058	Tumeur maligne à localisations contiguës du palais
C059	Tumeur maligne du palais, sans précision
C060	Tumeur maligne de la muqueuse de la joue
C061	Tumeur maligne du vestibule de la bouche
C062	Tumeur maligne de la région rétromolaire
C068	Tumeur maligne à localisations contiguës de la bouche, parties autres et non précisées
C069	Tumeur maligne de la bouche, sans précision
C07	Tumeur maligne de la glande parotide
C080	Tumeur maligne de la glande sous-maxillaire
C081	Tumeur maligne de la glande sublinguale
C088	Tumeur maligne à localisations contiguës des glandes salivaires principales
C089	Tumeur maligne de la glande salivaire (principale), sans précision
C090	Tumeur maligne de la fosse amygdalienne
C091	Tumeur maligne du pilier de l'amygdale (antérieur) (postérieur)
C098	Tumeur maligne à localisations contiguës de l'amygdale
C099	Tumeur maligne de l'amygdale, sans précision
C100	Tumeur maligne du sillon glosso-épiglottique
C101	Tumeur maligne de la face antérieure de l'épiglotte
C102	Tumeur maligne de la paroi latérale de l'oropharynx
C103	Tumeur maligne de la paroi postérieure de l'oropharynx
C104	Tumeur maligne de la fente branchiale
C108	Tumeur maligne à localisations contiguës de l'oropharynx
C109	Tumeur maligne de l'oropharynx, sans précision
C110	Tumeur maligne de la paroi supérieure du rhinopharynx
C111	Tumeur maligne de la paroi postérieure du rhinopharynx
C112	Tumeur maligne de la paroi latérale du rhinopharynx
C113	Tumeur maligne de la paroi antérieure du rhinopharynx
C118	Tumeur maligne à localisations contiguës de rhinopharynx
C119	Tumeur maligne du rhinopharynx, sans précision
C12	Tumeur maligne du sinus piriforme
C130	Tumeur maligne de la région rétro-cricoïdienne
C131	Tumeur maligne du repli ary-épiglottique, (versant hypopharyngé)
C132	Tumeur maligne de la paroi postérieure de l'hypopharynx
C138	Tumeur maligne à localisations contiguës de l'hypopharynx
C139	Tumeur maligne de l'hypopharynx, sans précision
C140	Tumeur maligne du pharynx, sans précision
C142	Tumeur maligne de l'anneau de Waldeyer
C148	Tumeur maligne à localisations contiguës de la lèvre, de la cavité buccale et du pharynx
C150	Tumeur maligne de l'oesophage cervical
C151	Tumeur maligne de l'oesophage thoracique
C152	Tumeur maligne de l'oesophage abdominal
C153	Tumeur maligne du tiers supérieur de l'oesophage
C154	Tumeur maligne du tiers moyen de l'oesophage
C155	Tumeur maligne du tiers inférieur de l'oesophage
C158	Tumeur maligne à localisations contiguës de l'oesophage
C159	Tumeur maligne de l'oesophage, sans précision
C160	Tumeur maligne du cardia
C161	Tumeur maligne du fundus
C162	Tumeur maligne du corps de l'estomac
C163	Tumeur maligne de l'antre pylorique
C164	Tumeur maligne du pylore
C165	Tumeur maligne de la petite courbure de l'estomac, sans précision
C166	Tumeur maligne de la grande courbure de l'estomac, sans précision
C168	Tumeur maligne à localisations contiguës de l'estomac
C169	Tumeur maligne de l'estomac, sans précision
C170	Tumeur maligne du duodénum
C171	Tumeur maligne du jéjunum
C172	Tumeur maligne de l'iléon
C173	Tumeur maligne du diverticule de Meckel
C178	Tumeur maligne à localisations contiguës de l'intestin grêle
C179	Tumeur maligne de l'intestin grêle, sans précision
C180	Tumeur maligne du cæcum
C181	Tumeur maligne de l'appendice
C182	Tumeur maligne du côlon ascendant
C183	Tumeur maligne de l'angle droit du côlon
C184	Tumeur maligne du côlon transverse
C185	Tumeur maligne de l'angle gauche du côlon
C186	Tumeur maligne du côlon descendant
C187	Tumeur maligne du côlon sigmoïde
C188	Tumeur maligne à localisations contiguës du côlon
C189	Tumeur maligne du côlon, sans précision
C19	Tumeur maligne de la jonction recto-sigmoïdienne
C20	Tumeur maligne du rectum
C210	Tumeur maligne de l'anus, sans précision
C211	Tumeur maligne du canal anal
C212	Tumeur maligne de la zone cloacale
C218	Tumeur maligne à localisations contiguës du rectum, de l'anus et du canal anal
C220	Carcinome hépatocellulaire
C221	Carcinome du canal biliaire intrahépatique
C222	Hépatoblastome
C223	Angiosarcome du foie
C224	Autres sarcomes du foie
C227	Autres carcinomes du foie précisés
C229	Tumeur maligne du foie, sans précision
C23 	Tumeur maligne de la vésicule biliaire
C240	Tumeur maligne du canal biliaire extra-hépatique
C241	Tumeur maligne de l'ampoule de Vater
C248	Tumeur maligne à localisations contiguës des voies biliaires
C249	Tumeur maligne des voies biliaires, sans précision
C250	Tumeur maligne de la tête du pancréas
C251	Tumeur maligne du corps du pancréas
C252	Tumeur maligne de la queue du pancréas
C253	Tumeur maligne du canal pancréatique
C254	Tumeur maligne du pancréas endocrine
C257	Tumeur maligne d'autres parties du pancréas
C258	Tumeur maligne à localisations contiguës du pancréas
C259	Tumeur maligne du pancréas, sans précision
C260	Tumeur maligne du tractus intestinal, (partie non précisée)
C261	Tumeur maligne de la rate
C268	Tumeur maligne à localisations contiguës de l'appareil digestif
C269	Tumeur maligne de sièges mal définis de l'appareil digestif
C300	Tumeur maligne des fosses nasales
C301	Tumeur maligne de l'oreille moyenne
C310	Tumeur maligne du sinus maxillaire
C311	Tumeur maligne du sinus ethmoïdal
C312	Tumeur maligne du sinus frontal
C313	Tumeur maligne du sinus sphénoïdal
C318	Tumeur maligne à localisations contiguës des sinus de la face
C319	Tumeur maligne des sinus de la face, sans précision
C320	Tumeur maligne de la glotte
C321	Tumeur maligne de l'étage sus-glottique
C322	Tumeur maligne de l'étage sous-glottique
C323	Tumeur maligne du cartilage laryngé
C328	Tumeur maligne à localisations contiguës du larynx
C329	Tumeur maligne du larynx, sans précision
C33	Tumeur maligne de la trachée
C340	Tumeur maligne de la bronche souche
C341	Tumeur maligne du lobe supérieur, bronches ou poumon
C342	Tumeur maligne du lobe moyen, bronches ou poumon
C343	Tumeur maligne du lobe inférieur, bronches ou poumon
C348	Tumeur maligne à localisations contiguës des bronches et du poumon
C349	Tumeur maligne de bronche ou du poumon, sans précision
C37	Tumeur maligne du thymus
C380	Tumeur maligne du coeur
C381	Tumeur maligne du médiastin antérieur
C382	Tumeur maligne du médiastin postérieur
C383	Tumeur maligne du médiastin, partie non précisée
C384	Tumeur maligne de la plèvre
C388	Tumeur maligne à localisations contiguës du coeur, du médiastin et de la plèvre
C390	Tumeur maligne des voies respiratoires supérieures, partie non précisée
C398	Tumeur maligne à localisations contiguës des organes respiratoires et intrathoraciques
C399	Tumeur maligne de sièges mal définis de l'appareil respiratoire
C400	Tumeur maligne de l'omoplate et des os longs du membre supérieur
C401	Tumeur maligne des os courts du membre supérieur
C402	Tumeur maligne des os longs du membre inférieur
C403	Tumeur maligne des os courts du membre inférieur
C408	Tumeur maligne à localisations contiguës des os et du cartilage articulaire des membres
C409	Tumeur maligne des os et du cartilage articulaire d'un membre, sans précision
C410	Tumeur maligne des os du crâne et de la face
C411	Tumeur maligne de la mandibule
C412	Tumeur maligne du rachis
C413 	Tumeur maligne des côtes, du sternum et de la clavicule
C414	Tumeur maligne des os du pelvis, du sacrum et du coccyx
C418	Tumeur maligne à localisations contiguës des os et du cartilage articulaire
C419	Tumeur maligne des os et du cartilage articulaire, sans précision
C430	Mélanome malin de la lèvre
C431	Mélanome malin de la paupière, y compris le canthus
C432	Mélanome malin de l'oreille et du conduit auditif externe
C433	Mélanome malin de la face, parties autres et non précisées
C434	Mélanome malin du cuir chevelu et du cou
C435	Mélanome malin du tronc
C436	Mélanome malin du membre supérieur, y compris l'épaule
C437	Mélanome malin du membre inférieur, y compris la hanche
C438	Lésion à localisations contiguës d'un mélanome malin de la peau
C439	Mélanome (malin) de la peau, sans précision
C440	Tumeur maligne de la face cutanée de la lèvre
C441	Tumeur maligne de la peau de la paupière, y compris le canthus
C442	Tumeur maligne de la peau de l'oreille et du conduit auditif externe
C443	Tumeur maligne de la peau de la face, parties autres et non précisées
C444	Tumeur maligne de la peau du cuir chevelu et du cou
C445	Tumeur maligne de la peau du tronc
C446	Tumeur maligne de la peau du membre supérieur, y compris l'épaule
C447	Tumeur maligne de la peau du membre inférieur, y compris la hanche
C448	Tumeur maligne à localisations contiguës de la peau
C449	Tumeur maligne de la peau, sans précision
C450	Mésothéliome de la plèvre
C451	Mésothéliome du péritoine
C452	Mésothéliome du péricarde
C457	Mésothéliome d'autres sièges
C459	Mésothéliome, sans précision
C460	Sarcome de Kaposi de la peau
C461	Sarcome de Kaposi des tissus mous
C462	Sarcome de Kaposi du palais
C463	Sarcome de Kaposi des ganglions lymphatiques
C467	Sarcome de Kaposi d'autres sièges
C4670	Sarcome de Kaposi de la sphère O.R.L.
C4671	Sarcome de Kaposi digestif
C4672	Sarcome de Kaposi pulmonaire
C4678	Sarcome de Kaposi d'autres localisations
C468	Sarcome de Kaposi d'organes multiples
C469	Sarcome de Kaposi, sans précision
C470	Tumeur maligne des nerfs périphériques de la tête, de la face et du cou
C471 	Tumeur maligne des nerfs périphériques du membre supérieur, y comprisl'épaule
C472	Tumeur maligne des nerfs périphériques du membre inférieur, y compris lahanche
C473	Tumeur maligne des nerfs périphériques du thorax
C474	Tumeur maligne des nerfs périphériques de l'abdomen
C475	Tumeur maligne des nerfs périphériques du pelvis
C476	Tumeur maligne des nerfs périphériques du tronc, sans précision
C478	Tumeur maligne à localisations contiguës des nerfs périphériques et du système nerveux autonome
C479	Tumeur maligne des nerfs périphériques et du système nerveux autonome, sans précision
C480	Tumeur maligne du rétropéritoine
C481	Tumeur maligne des parties précisées du péritoine
C482	Tumeur maligne du péritoine, sans précision
C488	Tumeur maligne à localisations contiguës du rétropéritoine et du péritoine
C490	Tumeur maligne du tissu conjonctif et des autres tissus mous de la tête, de la face et du cou
C491	Tumeur maligne du tissu conjonctif et des autres tissus mous du membre supérieur, y compris l'épaule
C492	Tumeur maligne du tissu conjonctif et des autres tissus mous du membre inférieur, y compris la hanche
C493	Tumeur maligne du tissu conjonctif et des autres tissus mous du thorax
C4930	Tumeur maligne des vaisseaux (sanguins) (lymphatiques) du thorax
C4938	Autres tumeurs malignes du tissu conjonctif et autres tissus mous du thorax
C494	Tumeur maligne du tissu conjonctif et des autres tissus mous de l'abdomen
C4940	Tumeur maligne des vaisseaux (sanguins) (lymphatiques) de l'abdomen
C4948	Autres tumeurs malignes du tissu conjonctif et autres tissus mous de l'abdomen
C495	Tumeur maligne du tissu conjonctif et des autres tissus mous du pelvis
C4950	Tumeur maligne des vaisseaux (sanguins) (lymphatiques) du bassin
C4958	Autres tumeurs malignes du tissu conjonctif et autres tissus mous du bassin
C496	Tumeur maligne du tissu conjonctif et des autres tissus mous du tronc, sans précision
C498	Tumeur maligne à localisations contiguës du tissu conjonctif et des autres tissus mous
C499	Tumeur maligne du tissu conjonctif et des autres tissus mous, sans précision
C500	Tumeur maligne du mamelon et de l'aréole
C501	Tumeur maligne de la partie centrale du sein
C502	Tumeur maligne du quadrant supéro-interne du sein
C503	Tumeur maligne du quadrant inféro-interne du sein
C504	Tumeur maligne du quadrant supéro-externe du sein
C505	Tumeur maligne du quadrant inféro-externe du sein
C506	Tumeur maligne du prolongement axillaire du sein
