CODE	LIBELLE
C000	lèvre supérieure, bord libre
C001	lèvre inférieure, bord libre
C002	lèvre, sans précision, bord libre
C003	lèvre supérieure, face interne
C004	lèvre inférieure, face interne
C005	lèvre, sans précision, face interne
C006	commissure des lèvres
C008	lésion à localisations contiguës de la lèvre
C009	lèvre, sans précision
C01	tumeur maligne de la base de la langue
C020	face dorsale de la langue
C021	pointe et bords latéraux de la langue
C022	face inférieure de la langue
C023	deux tiers antérieurs de la langue, sans précision
C024	amygdale linguale
C028	lésion à localisations contiguës de la langue
C029	langue, sans précision
C030	gencive supérieure
C031	gencive inférieure
C039	gencive, sans précision
C040	plancher antérieur de la bouche
C041	plancher latéral de la bouche
C048	lésion à localisations contiguës du plancher de la bouche
C049	plancher de la bouche, sans précision
C050	voûte palatine
C051	voile du palais
C052	luette
C058	lésion à localisations contiguës du palais
C059	palais, sans précision
C060	muqueuse de la joue
C061	vestibule de la bouche
C062	région rétromolaire
C068	lésion à localisations contiguës de la bouche, parties autres et non précisées
C069	bouche, sans précision
C07	tumeur maligne de la glande parotide
C080	glande sous-maxillaire
C081	glande sublinguale
C088	lésion à localisations contiguës des glandes salivaires principales
C089	glande salivaire principale, sans précision
C090	fosse amygdalienne
C091	pilier de l'amygdale (antérieur) (postérieur)
C098	lésion à localisations contiguës de l'amygdale
C099	amygdale, sans précision
C100	sillon glosso-épiglottique
C101	face antérieure de l'épiglotte
C102	paroi latérale de l'oropharynx
C103	paroi postérieure de l'oropharynx
C104	fente branchiale
C108	lésion à localisations contiguës de l'oropharynx
C109	oropharynx, sans précision
C110	paroi supérieure du rhinopharynx
C111	paroi postérieure du rhinopharynx
C112	paroi latérale du rhinopharynx
C113	paroi antérieure du rhinopharynx
C118	lésion à localisations contiguës de rhinopharynx
C119	rhinopharynx, sans précision
C12	tumeur maligne du sinus piriforme
C130	région rétro-cricoïdienne
C131	repli ary-épiglottique, versant hypopharyngé
C132	paroi postérieure de l'hypopharynx
C138	lésion à localisations contiguës de l'hypopharynx
C139	hypopharynx, sans précision
C140	pharynx, sans précision
C142	anneau de Waldeyer
C148	lésion à localisations contiguës de la lèvre, de la cavité buccale et du pharynx
C462	sarcome de Kaposi du palais
C760	tête, face et cou
D000	lèvre, cavité buccale et pharynx
D370	lèvre, cavité buccale et pharynx
D385	autres organes respiratoires
