CODE	LIBELLE
A00	choléra
A01	fièvres typhoïde et paratyphoïde
A02	autres salmonelloses
A03	shigellose
A04	autres infections intestinales bactériennes
A05	autres intoxications bactériennes d'origine alimentaire
A06	amibiase
A07	autres maladies intestinales à protozoaires
A08	infections virales intestinales et autres infections intestinales précisées
A09	diarrhée et gastro-entérite d'origine présumée infectieuse
A15	tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique
A16	tuberculose de l'appareil respiratoire, sans confirmation bactériologique ou histologique
A17	tuberculose du système nerveux
A18	tuberculose d'autres organes
A19	tuberculose miliaire
A20	peste
A21	tularémie
A22	charbon
A23	brucellose
A24	morve et mélioïdose
A25	fièvres causées par morsure de rat
A26	érysipéloïde
A27	leptospirose
A28	autres anthropozoonoses bactériennes, non classées ailleurs
A30	lèpre [maladie de Hansen]
A31	infections dues à d'autres mycobactéries
A32	listériose
A33	tétanos néonatal
A34	tétanos obstétrical
A35	autres formes de tétanos
A36	diphtérie
A37	coqueluche
A38	scarlatine
A39	infection à méningocoques
A40	septicémie à streptocoques
A41	autres septicémies
A42	actinomycose
A43	nocardiose
A44	bartonellose
A46	érysipèle
A48	autres maladies bactériennes, non classées ailleurs
A49	infection bactérienne, siège non précisé
A50	syphilis congénitale
A51	syphilis précoce
A52	syphilis tardive
A53	syphilis, autres et sans précision
A54	infection gonococcique
A55	lymphogranulomatose vénérienne à Chlamydia
A56	autres infections à Chlamydia transmises par voie sexuelle
A57	chancre mou
A58	granulome inguinal
A59	trichomonase
A60	infection ano-génitale par le virus de l'herpès [herpes simplex]
A63	autres maladies dont le mode de transmission est essentiellement sexuel, non classées ailleurs
A64	maladie sexuellement transmise, sans précision
A65	syphilis non vénérienne
A66	pian
A67	pinta [caraté]
A68	fièvres récurrentes [borrélioses]
A69	autres infections à spirochètes
A70	infection à Chlamydia psittaci
A71	trachome
A74	autres infections à Chlamydia
A75	typhus
A77	fièvre pourprée [rickettsioses à tiques]
A78	fièvre Q
A79	autres rickettsioses
A80	poliomyélite aiguë
A81	infections virales atypiques, du système nerveux central
A82	rage
A83	encéphalite virale transmise par des moustiques
A84	encéphalite virale transmise par des tiques
A85	autres encéphalites virales, non classées ailleurs
A86	encéphalite virale, sans précision
A87	méningite virale
A88	autres infections virales du système nerveux central, non classées ailleurs
A89	infection virale du système nerveux central, sans précision
A90	dengue [dengue classique]
A91	fièvre hémorragique due au virus de la dengue
A92	autres fièvres virales transmises par des moustiques
A93	autres fièvres virales transmises par des arthropodes, non classées ailleurs
A94	fièvre virale transmise par des arthropodes, sans précision
A95	fièvre jaune
A96	fièvre hémorragique à arénavirus
A98	autres fièvres hémorragiques virales, non classées ailleurs
A99	fièvre hémorragique virale, sans précision
B00	infections par le virus de l'herpès [herpes simplex]
B01	varicelle
B02	zona [herpes zoster]
B03	variole
B04	Monkeypox
B05	rougeole
B06	rubéole
B07	verrues d'origine virale
B08	autres infections virales caractérisées par des lésions cutanéo-muqueuses, non classées ailleurs
B09	infection virale caractérisée par des lésions cutanéo-muqueuses, sans précision
B15	hépatite aiguë A
B16	hépatite aiguë B
B17	autres hépatites virales aiguës
B18	hépatite virale chronique
B19	hépatite virale, sans précision
