CODE	LIBELLE
W00	Chute de plain-pied due à la glace et la neige
W00	Chute de plain-pied due à la glace et la neige [Chute verglas]
W000	Chute de plain-pied due à la glace et la neige, domicile
W0000	Chute de plain-pied due à la glace et la neige, domicile, en pratiquant un sport
W0001	Chute de plain-pied due à la glace et la neige, domicile, en participant à un jeu et à des activités de loisirs
W0002	Chute de plain-pied due à la glace et la neige, domicile, en exerçant un travail à des fins lucratives
W0003	Chute de plain-pied due à la glace et la neige, domicile, en exerçant d'autres formes de travail
W0004	Chute de plain-pied due à la glace et la neige, domicile, en se reposant, en dormant, en mangeant ou en participant à d'autres activités essentielles
W0008	Chute de plain-pied due à la glace et la neige, domicile, en participant à d'autres activités précisées
W0009	Chute de plain-pied due à la glace et la neige, domicile, en participant à une activité non précisée
W001	Chute de plain-pied due à la glace et la neige, établissement collectif
W0010	Chute de plain-pied due à la glace et la neige, établissement collectif, en pratiquant un sport
W0011	Chute de plain-pied due à la glace et la neige, établissement collectif, en participant à un jeu et à des activités de loisirs
W0012	Chute de plain-pied due à la glace et la neige, établissement collectif, en exerçant un travail à des fins lucratives
W0013	Chute de plain-pied due à la glace et la neige, établissement collectif, en exerçant d'autres formes de travail
W0014	Chute de plain-pied due à la glace et la neige, établissement collectif, en se reposant, en dormant, en mangeant ou en participant à d'autres activités essentielles
W0018	Chute de plain-pied due à la glace et la neige, établissement collectif, en participant à d'autres activités précisées
W0019	Chute de plain-pied due à la glace et la neige, établissement collectif, en participant à une activité non précisée
W002	Chute de plain-pied due à la glace et la neige, école, lieu public
W0020	Chute de plain-pied due à la glace et la neige, école, lieu public, en pratiquant un sport
W0021	Chute de plain-pied due à la glace et la neige, école, lieu public, en participant à un jeu et à des activités de loisirs
W0022	Chute de plain-pied due à la glace et la neige, école, lieu public, en exerçant un travail à des fins lucratives
W0023	Chute de plain-pied due à la glace et la neige, école, lieu public, en exerçant d'autres formes de travail
W0024	Chute de plain-pied due à la glace et la neige, école, lieu public, en se reposant, en dormant, en mangeant ou en participant à d'autres activités essentielles
W0028	Chute de plain-pied due à la glace et la neige, école, lieu public, en participant à d'autres activités précisées
W0029	Chute de plain-pied due à la glace et la neige, école, lieu public, en participant à une activité non précisée
W003	Chute de plain-pied due à la glace et la neige, lieu de sport
W0030	Chute de plain-pied due à la glace et la neige, lieu de sport, en pratiquant un sport
W0031	Chute de plain-pied due à la glace et la neige, lieu de sport, en participant à un jeu et à des activités de loisirs
W0032	Chute de plain-pied due à la glace et la neige, lieu de sport, en exerçant un travail à des fins lucratives
W0033	Chute de plain-pied due à la glace et la neige, lieu de sport, en exerçant d'autres formes de travail
W0034	Chute de plain-pied due à la glace et la neige, lieu de sport, en se reposant, en dormant, en mangeant ou en participant à d'autres activités essentielles
W0038	Chute de plain-pied due à la glace et la neige, lieu de sport, en participant à d'autres activités précisées
W0039	Chute de plain-pied due à la glace et la neige, lieu de sport, en participant à une activité non précisée
W004	Chute de plain-pied due à la glace et la neige, rue ou route
W0040	Chute de plain-pied due à la glace et la neige, rue ou route, en pratiquant un sport
W0041	Chute de plain-pied due à la glace et la neige, rue ou route, en participant à un jeu et à des activités de loisirs
W0042	Chute de plain-pied due à la glace et la neige, rue ou route, en exerçant un travail à des fins lucratives
W0043	Chute de plain-pied due à la glace et la neige, rue ou route, en exerçant d'autres formes de travail
W0044	Chute de plain-pied due à la glace et la neige, rue ou route, en se reposant, en dormant, en mangeant ou en participant à d'autres activités essentielles
W0048	Chute de plain-pied due à la glace et la neige, rue ou route, en participant à d'autres activités précisées
W0049	Chute de plain-pied due à la glace et la neige, rue ou route, en participant à une activité non précisée
W005	Chute de plain-pied due à la glace et la neige, zone de commerce
W0050	Chute de plain-pied due à la glace et la neige, zone de commerce, en pratiquant un sport
W0051	Chute de plain-pied due à la glace et la neige, zone de commerce, en participant à un jeu et à des activités de loisirs
W0052	Chute de plain-pied due à la glace et la neige, zone de commerce, en exerçant un travail à des fins lucratives
W0053	Chute de plain-pied due à la glace et la neige, zone de commerce, en exerçant d'autres formes de travail
W0054	Chute de plain-pied due à la glace et la neige, zone de commerce, en se reposant, en dormant, en mangeant ou en participant à d'autres activités essentielles
W0058	Chute de plain-pied due à la glace et la neige, zone de commerce, en participant à d'autres activités précisées
W0059	Chute de plain-pied due à la glace et la neige, zone de commerce, en participant à une activité non précisée
W006	Chute de plain-pied due à la glace et la neige, local industriel et chantier
W0060	Chute de plain-pied due à la glace et la neige, local industriel et chantier, en pratiquant un sport
W0061	Chute de plain-pied due à la glace et la neige, local industriel et chantier, en participant à un jeu et à des activités de loisirs
W0062	Chute de plain-pied due à la glace et la neige, local industriel et chantier, en exerçant un travail à des fins lucratives
W0063	Chute de plain-pied due à la glace et la neige, local industriel et chantier, en exerçant d'autres formes de travail
W0064	Chute de plain-pied due à la glace et la neige, local industriel et chantier, en se reposant, en dormant, en mangeant ou en participant à d'autres activités essentielles
W0068	Chute de plain-pied due à la glace et la neige, local industriel et chantier, en participant à d'autres activités précisées
W0069	Chute de plain-pied due à la glace et la neige, local industriel et chantier, en participant à une activité non précisée
W007	Chute de plain-pied due à la glace et la neige, exploitation agricole
W0070	Chute de plain-pied due à la glace et la neige, exploitation agricole, en pratiquant un sport
W0071	Chute de plain-pied due à la glace et la neige, exploitation agricole, en participant à un jeu et à des activités de loisirs
W0072	Chute de plain-pied due à la glace et la neige, exploitation agricole, en exerçant un travail à des fins lucratives
W0073	Chute de plain-pied due à la glace et la neige, exploitation agricole, en exerçant d'autres formes de travail
W0074	Chute de plain-pied due à la glace et la neige, exploitation agricole, en se reposant, en dormant, en mangeant ou en participant à d'autres activités essentielles
W0078	Chute de plain-pied due à la glace et la neige, exploitation agricole, en participant à d'autres activités précisées
W0079	Chute de plain-pied due à la glace et la neige, exploitation agricole, en participant à une activité non précisée
W008	Chute de plain-pied due à la glace et la neige, autres lieux précisés
W0080	Chute de plain-pied due à la glace et la neige, autres lieux précisés, en pratiquant un sport
W0081	Chute de plain-pied due à la glace et la neige, autres lieux précisés, en participant à un jeu et à des activités de loisirs
W0082	Chute de plain-pied due à la glace et la neige, autres lieux précisés, en exerçant un travail à des fins lucratives
W0083	Chute de plain-pied due à la glace et la neige, autres lieux précisés, en exerçant d'autres formes de travail
W0084	Chute de plain-pied due à la glace et la neige, autres lieux précisés, en se reposant, en dormant, en mangeant ou en participant à d'autres activités essentielles
W0088	Chute de plain-pied due à la glace et la neige, autres lieux précisés, en participant à d'autres activités précisées
