CODE	LIBELLE
I600	Hémorragie sous-arachnoïdienne de la bifurcation et du siphon carotidien
I601	Hémorragie sous-arachnoïdienne de l'artère cérébrale moyenne
I602	Hémorragie sous-arachnoïdienne de l'artère communicante antérieure
I603	Hémorragie sous-arachnoïdienne de l'artère communicante postérieure
I604	Hémorragie sous-arachnoïdienne de l'artère basilaire
I605	Hémorragie sous-arachnoïdienne de l'artère vertébrale
I606	Hémorragie sous-arachnoïdienne d'autres artères intracrâniennes
I607	Hémorragie sous-arachnoïdienne d'une artère intracrânienne, sans précision
I608	Autres hémorragies sous-arachnoïdiennes
I609	Hémorragie sous-arachnoïdienne, sans précision
P103	Hémorragie sous-arachnoïdienne due à un traumatisme obstétrical
P525	Hémorragie sous-arachnoïdienne (non traumatique) du fœtus et du nouveau-né
S066	Hémorragie sous-arachnoïdienne traumatique
S0660	Hémorragie sous-arachnoïdienne traumatique, sans plaie intracrânienne
S0661	Hémorragie sous-arachnoïdienne traumatique, avec plaie intracrânienne
