CODE	LIBELLE
A180	Tuberculose des os et des articulations
A666	Lésions ostéo-articulaires pianiques
B453	Cryptococcose osseuse
B672	Infection osseuse à Echinococcus granulosus
M000	Arthrite et polyarthrite à staphylocoques
M0000	Arthrite et polyarthrite à staphylocoques - Sièges multiples
M0001	Arthrite et polyarthrite à staphylocoques - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire
M0002	Arthrite et polyarthrite à staphylocoques - Articulation du coude
M0003	Arthrite et polyarthrite à staphylocoques - Articulation du poignet
M0004	Arthrite et polyarthrite à staphylocoques - Articulations de la main
M0005	Arthrite et polyarthrite à staphylocoques - Articulations de la hanche et sacro-iliaque
M0006	Arthrite et polyarthrite à staphylocoques - Articulation du genou
M0007	Arthrite et polyarthrite à staphylocoques - Articulations de la cheville et du pied
M0008	Arthrite et polyarthrite à staphylocoques - Autres articulations
M0009	Arthrite et polyarthrite à staphylocoques - Siège non précisé
M001	Arthrite et polyarthrite à pneumocoques
M0010	Arthrite et polyarthrite à pneumocoques - Sièges multiples
M0011	Arthrite et polyarthrite à pneumocoques - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire
M0012	Arthrite et polyarthrite à pneumocoques - Articulation du coude
M0013	Arthrite et polyarthrite à pneumocoques - Articulation du poignet
M0014	Arthrite et polyarthrite à pneumocoques - Articulations de la main
M0015	Arthrite et polyarthrite à pneumocoques - Articulations de la hanche et sacro-iliaque
M0016	Arthrite et polyarthrite à pneumocoques - Articulation du genou
M0017	Arthrite et polyarthrite à pneumocoques - Articulations de la cheville et du pied
M0018	Arthrite et polyarthrite à pneumocoques - Autres articulations
M0019	Arthrite et polyarthrite à pneumocoques - Siège non précisé
M002	Autres arthrites et polyarthrites à streptocoques
M0020	Autres arthrites et polyarthrites à streptocoques - Sièges multiples
M0021	Autres arthrites et polyarthrites à streptocoques - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire
M0022	Autres arthrites et polyarthrites à streptocoques - Articulation du coude
M0023	Autres arthrites et polyarthrites à streptocoques - Articulation du poignet
M0024	Autres arthrites et polyarthrites à streptocoques - Articulations de la main
M0025	Autres arthrites et polyarthrites à streptocoques - Articulations de la hanche et sacro-iliaque
M0026	Autres arthrites et polyarthrites à streptocoques - Articulation du genou
M0027	Autres arthrites et polyarthrites à streptocoques - Articulations de la cheville et du pied
M0028	Autres arthrites et polyarthrites à streptocoques - Autres articulations
M0029	Autres arthrites et polyarthrites à streptocoques - Siège non précisé
M008	Arthrite et polyarthrite dues à d'autres bactéries précisées
M0080	Arthrite et polyarthrite dues à d'autres bactéries précisées - Sièges multiples
M0081	Arthrite et polyarthrite dues à d'autres bactéries précisées - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire
M0082	Arthrite et polyarthrite dues à d'autres bactéries précisées - Articulation du coude
M0083	Arthrite et polyarthrite dues à d'autres bactéries précisées - Articulation du poignet
M0084	Arthrite et polyarthrite dues à d'autres bactéries précisées - Articulations de la main
