CODE	APPAREIL	ORGANE
C000	VADS	Levre
C001	VADS	Levre
C002	VADS	Levre
C003	VADS	Levre
C004	VADS	Levre
C005	VADS	Levre
C006	VADS	Levre
C008	VADS	Levre
C009	VADS	Levre
C01	VADS	Pharynx
C020	VADS	Langue
C021	VADS	Langue
C022	VADS	Langue
C023	VADS	Langue
C024	VADS	Langue
C028	VADS	Langue
C029	VADS	Langue
C030	VADS	Gencive
C031	VADS	Gencive
C039	VADS	Gencive
C040	VADS	Plancher de la bouche
C041	VADS	Plancher de la bouche
C048	VADS	Plancher de la bouche
C049	VADS	Plancher de la bouche
C050	VADS	Palais
C051	VADS	Pharynx
C052	VADS	Pharynx
C058	VADS	Palais
C059	VADS	Palais
C060	VADS	Bouche SAI
C061	VADS	Bouche SAI
C062	VADS	Bouche SAI
C068	VADS	Bouche SAI
C069	VADS	Bouche SAI
C07	VADS	Glandes salivaires
C080	VADS	Glandes salivaires
C081	VADS	Glandes salivaires
C088	VADS	Glandes salivaires
C089	VADS	Glandes salivaires
C090	VADS	Pharynx
C091	VADS	Pharynx
C098	VADS	Pharynx
C099	VADS	Pharynx
C100	VADS	Pharynx
C101	VADS	Pharynx
C102	VADS	Pharynx
C103	VADS	Pharynx
C104	VADS	Pharynx
C108	VADS	Pharynx
C109	VADS	Pharynx
C110	VADS	Pharynx
C111	VADS	Pharynx
C112	VADS	Pharynx
C113	VADS	Pharynx
C118	VADS	Pharynx
C119	VADS	Pharynx
C12	VADS	Pharynx
C130	VADS	Pharynx
C131	VADS	Pharynx
C132	VADS	Pharynx
C138	VADS	Pharynx
C139	VADS	Pharynx
C140	VADS	Pharynx
C142	VADS	Autres localisations des VADS
C148	VADS	Autres localisations des VADS
C150	APPAREIL DIGESTIF	Oesophage
C151	APPAREIL DIGESTIF	Oesophage
C152	APPAREIL DIGESTIF	Oesophage
C153	APPAREIL DIGESTIF	Oesophage
C154	APPAREIL DIGESTIF	Oesophage
C155	APPAREIL DIGESTIF	Oesophage
C158	APPAREIL DIGESTIF	Oesophage
C159	APPAREIL DIGESTIF	Oesophage
C160	APPAREIL DIGESTIF	Estomac
C161	APPAREIL DIGESTIF	Estomac
C162	APPAREIL DIGESTIF	Estomac
C163	APPAREIL DIGESTIF	Estomac
C164	APPAREIL DIGESTIF	Estomac
C165	APPAREIL DIGESTIF	Estomac
C166	APPAREIL DIGESTIF	Estomac
C168	APPAREIL DIGESTIF	Estomac
C169	APPAREIL DIGESTIF	Estomac
C169+0	APPAREIL DIGESTIF	Estomac
C169+8	APPAREIL DIGESTIF	Estomac
C170	APPAREIL DIGESTIF	Intestin Grele
C171	APPAREIL DIGESTIF	Intestin Grele
C172	APPAREIL DIGESTIF	Intestin Grele
C173	APPAREIL DIGESTIF	Intestin Grele
C178	APPAREIL DIGESTIF	Intestin Grele
C179	APPAREIL DIGESTIF	Intestin Grele
C180	APPAREIL DIGESTIF	Colon - Rectum
C181	APPAREIL DIGESTIF	Colon - Rectum
C182	APPAREIL DIGESTIF	Colon - Rectum
C183	APPAREIL DIGESTIF	Colon - Rectum
C184	APPAREIL DIGESTIF	Colon - Rectum
C185	APPAREIL DIGESTIF	Colon - Rectum
C186	APPAREIL DIGESTIF	Colon - Rectum
C187	APPAREIL DIGESTIF	Colon - Rectum
C188	APPAREIL DIGESTIF	Colon - Rectum
C189	APPAREIL DIGESTIF	Colon - Rectum
C189+0	APPAREIL DIGESTIF	Colon - Rectum
C189+8	APPAREIL DIGESTIF	Colon - Rectum
C19	APPAREIL DIGESTIF	Colon - Rectum
C20	APPAREIL DIGESTIF	Colon - Rectum
C210	APPAREIL DIGESTIF	Canal anal
C211	APPAREIL DIGESTIF	Canal anal
C212	APPAREIL DIGESTIF	Canal anal
C218	APPAREIL DIGESTIF	Colon - Rectum
C220	APPAREIL DIGESTIF	Foie
C221	APPAREIL DIGESTIF	Foie
C222	APPAREIL DIGESTIF	Foie
C223	APPAREIL DIGESTIF	Foie
C224	APPAREIL DIGESTIF	Foie
C227	APPAREIL DIGESTIF	Foie
C229	APPAREIL DIGESTIF	Foie
C23	APPAREIL DIGESTIF	Vesicule biliaire et voies biliaires extra hepatiques
C240	APPAREIL DIGESTIF	Vesicule biliaire et voies biliaires extra hepatiques
C241	APPAREIL DIGESTIF	Vesicule biliaire et voies biliaires extra hepatiques
C248	APPAREIL DIGESTIF	Vesicule biliaire et voies biliaires extra hepatiques
C249	APPAREIL DIGESTIF	Vesicule biliaire et voies biliaires extra hepatiques
C250	APPAREIL DIGESTIF	Pancreas
C251	APPAREIL DIGESTIF	Pancreas
C252	APPAREIL DIGESTIF	Pancreas
C253	APPAREIL DIGESTIF	Pancreas
C254	APPAREIL DIGESTIF	Pancreas
C254+0	APPAREIL DIGESTIF	Pancreas
C254+8	APPAREIL DIGESTIF	Pancreas
C257	APPAREIL DIGESTIF	Pancreas
C258	APPAREIL DIGESTIF	Pancreas
C259	APPAREIL DIGESTIF	Pancreas
C259+0	APPAREIL DIGESTIF	Pancreas
C259+8	APPAREIL DIGESTIF	Pancreas
C260	APPAREIL DIGESTIF	Autres localisations de l'appareil digestif
C261	APPAREIL DIGESTIF	Autres localisations de l'appareil digestif
C268	APPAREIL DIGESTIF	Autres localisations de l'appareil digestif
C269	APPAREIL DIGESTIF	Autres localisations de l'appareil digestif
C300	VADS	Fosses nasales, Oreille moyenne , interne
