CODE	LIBELLE
A020	entérite à Salmonella
A030	shigellose à Shigella dysenteriae
A047	entérocolite à Clostridium difficile
A051	botulisme
A052	intoxication alimentaire à Clostridium perfringens [Clostridium welchii]
A064	abcès amibien du foie
A159	tuberculose de l'appareil respiratoire sans précision, avec confirmation bactériologique et histologique
A40	septicémie à streptocoques
A400	septicémie à streptocoques, groupe A
A401	septicémie à streptocoques, groupe B
A402	septicémie à streptocoques, groupe D
A403	septicémie à Streptococcus pneumoniae
A408	autres septicémies à streptocoques
A409	septicémie à streptocoques, sans précision
A41	autres septicémies
A410	septicémie à staphylocoques dorés
A411	septicémie à d'autres staphylocoques précisés
A412	septicémie à staphylocoques non précisés
A413	septicémie à Haemophilus influenzae
A414	septicémie à micro-organismes anaérobies
A415	septicémie à d'autres micro-organismes Gram négatif
A418	autres septicémies précisées
A419	septicémie, sans précision
A46	érysipèle
A480	gangrène gazeuse
A481	maladie des légionnaires
A482	maladie des légionnaires, sans signes pulmonaires [fièvre de Pontiac]
A483	syndrome du choc toxique
B370	stomatite à Candida
B371	candidose pulmonaire
B372	candidose de la peau et des ongles
B373	candidose de la vulve et du vagin
B374	candidose d'autres localisations uro-génitales
B375	méningite à Candida
B376	endocardite à Candida
B377	septicémie à Candida
B378	autres localisations de candidose
B440	aspergillose pulmonaire invasive
B441	autres aspergilloses pulmonaires
B447	aspergillose disséminée
B449	aspergillose, sans précision
B487	mycoses opportunistes
B59	pneumocystose
B879	myiase, sans précision
B95	streptocoques et staphylocoques, cause de maladies classées dans d'autres chapitres
B950	streptocoques, groupe A, cause de maladies classées dans d'autres chapitres
B951	streptocoques, groupe B, cause de maladies classées dans d'autres chapitres
B952	streptocoques, groupe D, cause de maladies classées dans d'autres chapitres
B953	streptococcus pneumoniae, cause de maladies classées dans d'autres chapitres
B954	autres streptocoques, cause de maladies classées dans d'autres chapitres
B955	streptocoques non précisés, cause de maladies classées dans d'autres chapitres
B956	staphylococcus aureus, cause de maladies classées dans d'autres chapitres
B957	autres staphylocoques, cause de maladies classées dans d'autres chapitres
B958	staphylocoque non précisé, cause de maladies classées dans d'autres chapitres
B96	autres agents bactériens, cause de maladies classées dans d'autres chapitres
B960	mycoplasma pneumoniae, cause de maladies classées dans d'autres chapitres
B961	klebsiella pneumoniae [subsp. pneumoniae], cause de maladies classées dans d'autres chapitres
B962	escherichia coli, cause de maladies classées dans d'autres chapitres
B963	Haemophilus influenzae, cause de maladies classées dans d'autres chapitres
B964	proteus (P. mirabilis) (P. morganii), cause de maladies classées dans d'autres chapitres
B965	pseudomonas (P. aeruginosa) (P. mallei) (P. pseudomallei), cause de maladies classées dans d'autres chapitres
B966	bacillus fragilis, cause de maladies classées dans d'autres chapitres
B967	clostridium perfringens, cause de maladies classées dans d'autres chapitres
B968	autres agents bactériens précisés, cause de maladies classées dans d'autres chapitres
K578	diverticulose de l'intestin, siège non précisé, avec perforation et abcès
K579	diverticulose du côlon et de l'intestin, siège non précisé, sans perforation ni
K610	abcès anal
K611	abcès rectal
K659	péritonite, sans précision
K750	abcès du foie
K770	atteintes hépatiques au cours de maladies infectieuses et parasitaires classées ailleurs
K800	calcul de la vésicule biliaire avec cholécystite aiguë
K803	calcul des canaux biliaires avec angiocholite
K804	calcul des canaux biliaires avec cholécystite
K810	cholécystite aiguë
K819	cholécystite, sans précision
K832	perforation des voies biliaires
K833	fistule des voies biliaires
