CODE	LIBELLE
A020	entérite à Salmonella
A030	shigellose à Shigella dysenteriae
A047	entérocolite à Clostridium difficile
A051	botulisme
A052	intoxication alimentaire à Clostridium perfringens [Clostridium welchii]
A064	abcès amibien du foie
A159	tuberculose de l'appareil respiratoire sans précision, avec confirmation bactériologique et histologique
A40	septicémie à streptocoques
A400	septicémie à streptocoques, groupe A
A401	septicémie à streptocoques, groupe B
A402	septicémie à streptocoques, groupe D
A403	septicémie à Streptococcus pneumoniae
A408	autres septicémies à streptocoques
A409	septicémie à streptocoques, sans précision
A41	autres septicémies
A410	septicémie à staphylocoques dorés
A411	septicémie à d'autres staphylocoques précisés
A412	septicémie à staphylocoques non précisés
A413	septicémie à Haemophilus influenzae
A414	septicémie à micro-organismes anaérobies
A415	septicémie à d'autres micro-organismes Gram négatif
A418	autres septicémies précisées
A419	septicémie, sans précision
A46	érysipèle
A480	gangrène gazeuse
A481	maladie des légionnaires
A482	maladie des légionnaires, sans signes pulmonaires [fièvre de Pontiac]
A483	syndrome du choc toxique
A81	infections virales atypiques, du système nerveux central
A810	maladie de Creutzfeldt-Jakob
A811	panencéphalite sclérosante subaiguë
A812	leucoencéphalopathie multifocale progressive
A818	autres infections virales atypiques, du système nerveux central
A819	infection virales atypiques, du système nerveux central, sans précision
A85	autres encéphalites virales, non classées ailleurs
A850	encéphalite à entérovirus
A851	encéphalite à adénovirus
A852	encéphalite virale transmise par des arthropodes, sans précision
A858	autres encéphalites virales précisées
A86	encéphalite virale, sans précision
A87	méningite virale
A870	méningite à entérovirus
A871	méningite à adénovirus
A872	chorioméningite lymphocytaire
A878	autres méningites virales
A879	méningite virale, sans précision
A89	infection virale du système nerveux central, sans précision
B00	infections par le virus de l'herpès [herpes simplex]
B000	eczéma herpétique
B001	dermite vésiculaire due au virus de l'herpès
B002	gingivo-stomatite et pharyngo-amygdalite due au virus de l'herpès
B003	méningite due au virus de l'herpès
B004	encéphalite due au virus de l'herpès
B005	affections oculaires dues au virus de l'herpès
B007	maladie disséminée due au virus de l'herpès
B008	autres formes d'infection due au virus de l'herpès
B009	infection due au virus de l'herpès, sans précision
B01	varicelle
B010	méningite varicelleuse
B011	encéphalite varicelleuse
B012	pneumopathie varicelleuse
B018	varicelle avec autres complications
B019	varicelle sans complication
B02	zona [herpes zoster]
B020	encéphalite zostérienne
B021	méningite zostérienne
B022	zona accompagné d'autres manifestations neurologiques
B023	zona ophtalmique
B027	zona disséminé
B028	zona avec autres complications
B029	zona sans complication
B06	rubéole
B060	rubéole avec complications neurologiques
B068	rubéole avec autres complications
B069	rubéole sans complication
B08	autres infections virales caractérisées par des lésions cutanéo-muqueuses, non classées ailleurs
B080	autres infections à orthopoxvirus
B081	molluscum contagiosum
B082	exanthème subit [sixième maladie] [roséole infantile]
B083	érythème infectieux [cinquième maladie] [mégalérythème épidémique]
B084	stomatite vésiculaire avec exanthème, due à un entérovirus
B085	pharyngite vésiculaire due à un entérovirus
B088	autres infections virales précisées, caractérisées par des lésions cutanéo-muqueuses
B09	infection virale caractérisée par des lésions cutanéo-muqueuses, sans précision
B15	hépatite aiguë A
B150	hépatite A avec coma hépatique
B159	hépatite A sans coma hépatique
B16	hépatite aiguë B
B160	hépatite aiguë B avec agent delta, avec coma hépatique
B161	hépatite aiguë B avec agent delta, sans coma hépatique
B162	hépatite aiguë B sans agent delta, avec coma hépatique
