CODE	LIBELLE
C91	leucémie lymphoïde
C910	leucémie lymphoblastique aiguë
C911	leucémie lymphoïde chronique
C912	leucémie lymphoïde subaiguë
C913	leucémie à prolymphocytes
C914	leucémie à tricholeucocytes
C915	leucémie de l'adulte à cellules T
C917	autres leucémies lymphoïdes
C919	leucémie lymphoïde, sans précision
C92	leucémie myéloïde
C920	leucémie myéloïde aiguë
C921	leucémie myéloïde chronique
C922	leucémie myéloïde subaiguë
C923	sarcome myéloïde
C924	leucémie promyélocytaire aiguë
C925	leucémie myélomonocytaire aiguë
C927	autres leucémies myéloïdes
C929	leucémie myéloïde, sans précision
C93	leucémie monocytaire
C930	leucémie monocytaire aiguë
C931	leucémie monocytaire chronique
C932	leucémie monocytaire subaiguë
C937	autres leucémies monocytaires
C939	leucémie monocytaire, sans précision
C94	autres leucémies à cellules précisées
C940	polyglobulie primitive aiguë et érythroleucose
C941	polyglobulie primitive chronique
C942	leucémie aiguë à mégacaryocytes
C943	leucémie à mastocytes
C944	panmyélose aiguë
C945	myélofibrose aiguë
C947	autres leucémies précisées
C95	leucémie à cellules non précisées
C950	leucémie aiguë à cellules non précisées
C951	leucémie chronique à cellules non précisées
C952	leucémie subaiguë à cellules non précisées
C957	autres leucémies à cellules non précisées
C959	leucémie, sans précision
C916	Leucémie à prolymphocytes à cellules T
C918	Leucémie à cellules B matures, de type Burkitt
C926	Leucémie myéloïde aigüe avec anomalies 11q23
C928	Leucémie myéloïde aigüe avec dysplasie de plusieurs lignées cellulaires
C933	Leucémie myélomonocytaire juvénile
C946	Maladie myélodysplasique et myéloproliférative, non classée ailleurs
