CODE	LIBELLE
A00	Choléra
A000	Choléra à Vibrio cholerae 01, biovar cholerae
A001	Choléra à Vibrio cholerae 01, biovar El Tor
A009	Choléra, sans précision
A01	Fièvres typhoïde et paratyphoïde
A010	Fièvre typhoïde
A011	Paratyphoïde A
A012	Paratyphoïde B
A013	Paratyphoïde C
A014	Paratyphoïde, sans précision
A02	Autres salmonelloses
A020	Entérite à Salmonella
A021	Sepsis à Salmonella
A022	Infection localisée à Salmonella
A028	Autres infections précisées à Salmonella
A029	Salmonellose, sans précision
A03	Shigellose
A030	Shigellose à Shigella dysenteriae
A031	Shigellose à Shigella flexneri
A032	Shigellose à Shigella boydii
A033	Shigellose à Shigella sonnei
A038	Autres shigelloses
A039	Shigellose, sans précision
A04	Autres infections intestinales bactériennes
A040	Infection entéropathogène à Escherichia coli
A041	Infection entérotoxigène à Escherichia coli
A042	Infection entéro-invasive à Escherichia coli
A043	Infection entéro-hémorragique à Escherichia coli
A044	Autres infections intestinales à Escherichia coli
A045	Entérite à Campylobacter
A046	Entérite à Yersinia enterocolitica
A047	Colite pseudomembraneuse Intoxication   d origine alimentaire à Clostridium difficile
A048	Autres infections intestinales bactériennes précisées
A049	Infection intestinale bactérienne, sans précision
A05	Autres intoxications bactériennes d origine alimentaire, non classées ailleurs
A050	Intoxication alimentaire à staphylocoques
A051	Botulisme
A052	Intoxication alimentaire à Clostridium perfringens [Clostridium welchii]
A053	Intoxication alimentaire à Vibrio parahaemolyticus
A054	Intoxication alimentaire à Bacillus cereus
A058	Autres intoxications bactériennes d origine alimentaire précisées
A059	Intoxication bactérienne d origine alimentaire, sans précision
A06	Amibiase
A060	Dysenterie amibienne (aiguë)
A061	Amibiase intestinale chronique
A062	Colite amibienne non dysentérique
A063	Amoebome (de l intestin)
A064	Abcès amibien du foie
A065	Abcès amibien du poumon (J99.8*)
A066	Abcès amibien du cerveau (G07*)
A067	Amibiase cutanée
A068	Autres localisations d une infection amibienne
A069	Amibiase, sans précision
A07	Autres maladies intestinales à protozoaires
A070	Balantidiose
A071	Giardiase [lambliase]
A072	Cryptosporidiose
A073	Infection à Isospora
A078	Microsporidiose intestinale, Sarcocystose, Sarcosporidiose
A079	Maladie intestinale à protozoaires, sans précision
A08	Infections virales intestinales et autres infections intestinales précisées
A080	Entérite à rotavirus
A081	Gastro-entéropathie (aiguë) à l agent de Norwalk
A082	Entérite à adénovirus
A083	Autres entérites virales
A084	Infections intestinales virales, sans précision
A085	Autres infections intestinales précisées
A09	Diarrhée et gastro-entérite  d origine présumée infectieuse
A090	Gastroentérites et colites   d origine infectieuse, autres et non précisées
A099	Gastroentérites et colites    d origine non précisée
A15	Tuberculose de l appareil respiratoire, avec confirmation bactériologique et histologique
A150	Tuberculose pulmonaire, confirmée par examen microscopique de l expectoration, avec ou sans culture
A151	Tuberculose pulmonaire, confirmée par culture seulement
A152	Tuberculose pulmonaire, avec confirmation histologique
A153	Tuberculose pulmonaire, avec confirmation, moyen non précisé
A154	Tuberculose des ganglions intrathoraciques, avec confirmation bactériologique et histologique
A155	Tuberculose du larynx, de la trachée et des bronches, avec confirmation bactériologique et histologique
A156	Pleurésie tuberculeuse, avec confirmation bactériologique et histologique
A157	Primo-infection tuberculeuse de l appareil respiratoire, avec confirmation bactériologique et histologique
A158	Autres formes de tuberculose de l appareil respiratoire, avec confirmation bactériologique et histologique
A159	Tuberculose de l appareil respiratoire sans précision, avec confirmation bactériologique et histologique
A16	Tuberculose de l appareil respiratoire, sans confirmation bactériologique ou histologique
A160	Tuberculose pulmonaire, avec examens bactériologique et histologique négatifs
A161	Tuberculose pulmonaire, sans examen bactériologique et histologique
A162	Tuberculose pulmonaire, (sans mention de confirmation bactériologique ou histologique)
A163	Tuberculose des ganglions intrathoraciques, (sans mention de confirmation bactériologique ou histologique)
A164	Tuberculose du larynx, de la trachée et des bronches, (sans mention de confirmation bactériologique ou histologique)
A165	Pleurésie tuberculeuse, (sans mention de confirmation bactériologique ou histologique)
A167	Primo-infection tuberculeuse de l appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)
A168	Autres formes de tuberculose de l appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)
A169	Tuberculose de l appareil respiratoire sans précision, (sans mention de confirmation bactériologique ou histologique)
A17	Tuberculose du système nerveux
A170	Méningite tuberculeuse (G01*)
A171	Tuberculome méningé (G07*)
A178	Autres formes de tuberculose du système nerveux
A179	Tuberculose du système nerveux, sans précision (G99.8*)
A18	Tuberculose d autres organes
A180	Tuberculose des os et des articulations
A181	Tuberculose de l appareil génito-urinaire
A182	Adénopathie tuberculeuse périphérique
A183	Tuberculose de l intestin, du péritoine et des ganglions mésentériques
A184	Tuberculose de la peau et du tissu cellulaire sous-cutané
A185	Tuberculose de l oeil
A186	Tuberculose de l oreille
A187	Tuberculose des surrénales (E35.1*)
A188	Tuberculose d autres organes précisés
A19	Tuberculose miliaire
A190	Tuberculose miliaire aiguë, localisation unique et précisée
A191	Tuberculose miliaire aiguë, sièges multiples
A192	Tuberculose miliaire aiguë, sans précision
A198	Autres tuberculoses miliaires
A199	Tuberculose miliaire, sans précision
A20	Peste
A200	Peste bubonique
A201	Peste cutanée
A202	Peste pulmonaire
A203	Peste méningée
A207	Peste  septique
A208	Autres formes de peste
A209	Peste, sans précision
A21	Tularémie
A210	Tularémie ulcéro-glandulaire
A211	Tularémie oculo-glandulaire
A212	Tularémie pulmonaire
A213	Tularémie gastro-intestinale
A217	Tularémie généralisée
A218	Autres formes de tularémie
A219	Tularémie, sans précision
A22	Charbon
A220	Charbon cutané
A221	Charbon pulmonaire
A222	Charbon gastro-intestinal
A227	Sepsis charbonneusex
A228	Autres formes de charbon
A229	Charbon, sans précision
A23	Brucellose
A230	Brucellose à Brucella melitensis
A231	Brucellose à Brucella abortus
A232	Brucellose à Brucella suis
A233	Brucellose à Brucella canis
A238	Autres brucelloses
A239	Brucellose, sans précision
A24	Morve et mélioïdose
A240	Morve
A241	Mélioïdose aiguë et galopante
A242	Mélioïdose subaiguë et chronique
A243	Autres mélioïdoses
A244	Mélioïdose, sans précision
A25	Fièvres causées par morsure de rat
A250	Spirillose
A251	Streptobacillose
A259	Fièvre causée par morsure de rat, sans précision
A26	Érysipéloïde
A260	Érysipéloïde cutanée
A267	Sepsis à Erysipelothrix
A268	Autres formes d érysipéloïde
A269	Érysipéloïde, sans précision
A27	Leptospirose
A270	Leptospirose ictéro-hémorragique
A278	Autres formes de leptospirose
A279	Leptospirose, sans précision
