CODE	LIBELLE
C430	mélanome malin de la lèvre
C431	mélanome malin de la paupière, y compris le canthus
C432	mélanome malin de l'oreille et du conduit auditif externe
C433	mélanome malin de la face, parties autres et non précisées
C434	mélanome malin du cuir chevelu et du cou
C435	mélanome malin du tronc
C436	mélanome malin du membre supérieur, y compris l'épaule
C437	mélanome malin du membre inférieur, y compris la hanche
C438	lésion à localisations contiguës d'un mélanome malin de la peau
C439	mélanome malin de la peau, sans précision
D031	mélanome in situ de la paupière, y compris le canthus
D032	mélanome in situ de l'oreille et du conduit auditif externe
D033	mélanome in situ de parties de la face, autres et non précisées
D034	mélanome in situ du cuir chevelu et du cou
D035	mélanome in situ du tronc
D036	mélanome in situ du membre supérieur, y compris l'épaule
D037	mélanome in situ du membre inférieur, y compris la hanche
D038	mélanome in situ d'autres sièges
D039	mélanome in situ, sans précision

