CODE	CIM.CMA	NIVEAU	DIAG	LISTE_RACINE	LIBELLE
A000	A00.0	2	878	-	CHOLERA A VIBRIO CHOLERAE 01, BIOVAR CHOLERAE
A001	A00.1	2	878	-	CHOLERA A VIBRIO CHOLERAE 01, BIOVAR EL TOR 
A009	A00.9	2	878	-	CHOLERA, SAI
A010	A01.0	2	878	-	FIEVRE TYPHOIDE
A011	A01.1	2	878	-	PARATYPHOIDE A
A012	A01.2	2	878	-	PARATYPHOIDE B
A013	A01.3	2	878	-	PARATYPHOIDE C
A014	A01.4	2	878	-	PARATYPHOIDE, SAI
A020	A02.0	2	878	-	ENTERITE A SALMONELLA 
A022	A02.2	2	878	-	INFECT. LOC. A SALMONELLA 
A028	A02.8	2	878	-	INFECT. PREC. A SALMONELLA, NCA
A029	A02.9	2	878	-	SALMONELLOSE, SAI
A030	A03.0	2	878	-	SHIGELLOSE A SHIGELLA DYSENTERIAE 
A031	A03.1	2	878	-	SHIGELLOSE A SHIGELLA FLEXNERI 
A032	A03.2	2	878	-	SHIGELLOSE A SHIGELLA BOYDII 
A033	A03.3	2	878	-	SHIGELLOSE A SHIGELLA SONNEI
A038	A03.8	2	878	-	SHIGELLOSES, NCA 
A039	A03.9	2	878	-	SHIGELLOSE, SAI
A040	A04.0	2	141	-	INFECT. ENTEROPATHOGENE A ESCHERICHIA COLI 
A041	A04.1	2	141	-	INFECT. ENTEROTOXIGENE A ESCHERICHIA COLI
A042	A04.2	2	141	-	INFECT. ENTERO-INVASIVE A ESCHERICHIA COLI
A043	A04.3	2	457	-	INFECT. ENTERO-HEMORR. A ESCHERICHIA COLI 
A044	A04.4	2	593	-	INFECT. INTEST. A ESCHERICHIA COLI, NCA 
A045	A04.5	2	593	-	ENTERITE A CAMPYLOBACTER
A046	A04.6	2	141	-	ENTERITE A YERSINIA ENTEROCOLITICA
A060	A06.0	2	932	-	DYSENTERIE AMIBIENNE 
A061	A06.1	2	932	-	AMIBIASE INTEST. CHRON. 
A062	A06.2	2	932	-	COLITE AMIBIENNE NON DYSENTERIQUE
A063	A06.3	2	932	-	AMOEBOME 
A064	A06.4	2	5	-	ABCES AMIBIEN DU FOIE 
A065	A06.5	2	824	-	ABCÈS AMIBIEN DU POUMON
A067	A06.7	2	108	-	AMIBIASE CUTANEE 
A068	A06.8	2	878	-	LOC. D'UNE INFECT. AMIBIENNE, NCA
A069	A06.9	2	969	-	AMIBIASE, SAI 
A070	A07.0	2	878	-	BALANTIDIOSE
A071	A07.1	2	878	-	GIARDIASE
A072	A07.2	2	878	-	CRYPTOSPORIDIOSE 
A073	A07.3	2	878	-	INFECT. A ISOSPORA
A078	A07.8	2	878	-	MAL. INTEST. PREC., A PROTOZOAIRES, NCA
A079	A07.9	2	878	-	MAL. INTEST. A PROTOZOAIRES, SAI
A080	A08.0	2	28	-	ENTERITE A ROTAVIRUS 
A081	A08.1	2	28	-	GASTROENTÉROPATHIE AIGÜE DUE À UN NOROVIRUS
A082	A08.2	2	28	-	ENTERITE A ADENOVIRUS
A083	A08.3	2	28	-	ENTERITES VIRALES, NCA
A085	A08.5	2	28	-	INFECT. INTEST. PREC., NCA
A090	A09.0	2	200	-	GASTROENTERITE COLITE INFECT. NCA/SAI 
A151	A15.1	2	654	-	TUBERC. PULM., CONFIRM. PAR CULTURE SEULEMENT
A152	A15.2	2	654	-	TUBERC. PULM., AVEC CONFIRM. HISTO.
A153	A15.3	2	654	-	TUBERC. PULM., AVEC CONFIRM., MOYEN SAI 
A154	A15.4	2	654	-	TUBERC. DES GGL. INTRATHOR., AVEC CONFIRM.
A155	A15.5	2	654	-	TUBERC. DU LARYNX, DE LA TRACHEE ET DES BRONCHES, AVECCONFIRM.
A156	A15.6	2	654	-	PLEURESIE TUBERC., AVEC CONFIRM.
A157	A15.7	2	654	-	PRIMO-INFECT. TUBERC. DE L'APP. RESP., AVEC CONFIRM. 
A158	A15.8	2	654	-	TUBERC. DE L'APP. RESP. NCA, AVEC CONFIRM. 
A159	A15.9	2	654	-	TUBERC. DE L'APP. RESP. SAI, AVEC CONFIRM.
A160	A16.0	2	654	-	TUBERC. PULM., AVEC EX. BACTERIO. ET HISTO. NEGATIFS
A161	A16.1	2	654	-	TUBERC. PULM., SANS EX. BACTERIO. ET HISTO.
A162	A16.2	2	654	-	TUBERC. PULM. 
A163	A16.3	2	654	-	TUBERC. DES GGL. INTRATHOR.
A164	A16.4	2	654	-	TUBERC. DU LARYNX, DE LA TRACHEE ET DES BRONCHES 
A165	A16.5	2	654	-	PLEURESIE TUBERC.
A167	A16.7	2	654	-	PRIMO-INFECT. TUBERC. DE L'APP. RESP.
A168	A16.8	2	654	-	TUBERC. DE L'APP. RESP., NCA 
A169	A16.9	2	654	-	TUBERC. DE L'APP. RESP. SAI
A181	A18.1	2	378	-	TUBERC. DE L'APP. GEN-URIN.
A182	A18.2	2	843	-	ADENOPATHIE TUBERC. PERIPH. 
A184	A18.4	2	177	-	TUBERC. DE LA PEAU ET DU TISSU CELL. /S-CUT. 
A185	A18.5	2	23	-	TUBERC. DE L'OEIL
A186	A18.6	2	132	-	TUBERC. DE L'OREILLE 
A187	A18.7	2	998	-	TUBERC. DES SURRENALES 
A188	A18.8	2	290	-	TUBERC. D'AUTRES ORG. PREC.
A250	A25.0	2	500	-	SPIRILLOSE
A251	A25.1	2	500	-	STREPTOBACILLOSE 
A259	A25.9	2	500	-	FIEVRE CAUSEE PAR MORSURE DE RAT, SAI
A260	A26.0	2	836	-	ERYSIPELOIDE CUTANEE 
A268	A26.8	2	500	-	ERYSIPELOIDE, NCA
A269	A26.9	2	836	-	ERYSIPELOIDE, SAI
A270	A27.0	2	533	-	LEPTOSPIROSE ICTERO-HEMORR.
A278	A27.8	2	500	-	LEPTOSPIROSE, NCA
A279	A27.9	2	533	-	LEPTOSPIROSE, SAI
A300	A30.0	2	426	-	LEPRE INDETERMINEE
A301	A30.1	2	426	-	LEPRE TUBERCULOIDE
A302	A30.2	2	426	-	LEPRE TUBERCULOIDE DE TYPE INTERMEDIAIRE ATYPIQUE
A303	A30.3	2	426	-	LEPRE DE TYPE INTERMEDIAIRE ATYPIQUE
A304	A30.4	2	426	-	LEPRE LEPROMATEUSE DE TYPE INTERMEDIAIRE ATYPIQUE 
A305	A30.5	2	426	-	LEPRE LEPROMATEUSE 
A308	A30.8	2	426	-	LEPRE, NCA
A309	A30.9	2	426	-	LEPRE, SAI
A370	A37.0	2	847	-	COQUELUCHE A BORDETELLA PERTUSSIS 
A371	A37.1	2	847	-	COQUELUCHE A BORDETELLA PARAPERTUSSIS
A378	A37.8	2	847	-	COQUELUCHE DUE A D'AUTRES ESPECES DE BORDETELLA
A379	A37.9	2	847	-	COQUELUCHE, SAI
A391	A39.1	2	768	-	SYND. DE WATERHOUSE-FRIDERICHSEN 
A392	A39.2	2	994	-	MENINGOCOCCEMIE AIG.
A393	A39.3	2	994	-	MENINGOCOCCEMIE CHRON. 
A394	A39.4	2	994	-	MENINGOCOCCEMIE, SAI 
A395	A39.5	2	994	-	CARDITE A MENINGO.
A398	A39.8	2	283	-	INFECT. A MENINGO., NCA 
A399	A39.9	2	511	-	INFECT. A MENINGO., SAI
A441	A44.1	2	291	-	BARTONELLOSE CUTANEE ET CUTANEO-MUQ.
A448	A44.8	2	817	-	BARTONELLOSE, NCA
A449	A44.9	2	291	-	BARTONELLOSE, SAI
A484	A48.4	2	817	-	FIEVRE PURPURIQUE DU BRESIL 
A488	A48.8	2	817	-	MAL. BACT. PREC., NCA
A500	A50.0	2	934	-	SYPHILIS CONG. PRECOCE, SYMPT.
A501	A50.1	2	934	-	SYPHILIS CONG. PRECOCE, LATENTE 
A502	A50.2	2	934	-	SYPHILIS CONG. PRECOCE, SAI
A503	A50.3	2	224	-	OCULOPATHIE SYPHILITIQUE CONG. TARDIVE
A504	A50.4	2	452	-	SYPHILIS CONG. NERV. TARDIVE
A505	A50.5	2	934	-	FORMES TARDIVES DE SYPHILIS CONG., SYMPT., NCA
A506	A50.6	2	934	-	SYPHILIS CONG. TARDIVE, LATENTE
A507	A50.7	2	496	-	SYPHILIS CONG. TARDIVE, SAI
A509	A50.9	2	496	-	SYPHILIS CONG., SAI
A510	A51.0	2	355	-	SYPHILIS GENITALE IRE. 
