RACINE	LIBELLE	ASO	DA	LibelleDomaineActivite	GP_CAS 	LibelleGroupesDeTypePlanification	GA	LibelleGroupesActivite	DA_GP	DA_GP_GA
01C03	Craniotomies pour traumatisme, age superieur a 17 ans	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	C02	Chirurgie du rachis, Neuro-chirurgie	G043	Chirurgies SNC trauma	D05C02	D05C02G043
01C04	Craniotomies en dehors de tout traumatisme, age superieur a 17 ans	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	C02	Chirurgie du rachis, Neuro-chirurgie	G044	Chirurgies SNC hors trauma (rachis et moelle exceptes)	D05C02	D05C02G044
01C05	Interventions sur le rachis et la moelle pour des affections neurologiques	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	C02	Chirurgie du rachis, Neuro-chirurgie	G041	Chirurgies rachis/moelle	D05C02	D05C02G041
01C06	Interventions sur le systeme vasculaire precerebral	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C14	Chirurgie vasculaire	G074	Autres chirurgies vasculaires	D07C14	D07C14G074
01C08	Interventions sur les nerfs craniens ou peripheriques et autres interventions sur le systeme nerveux	C	D26	Activites inter specialites, suivi therapeutique d'affections connues	C25	Chirurgie inter specialites	G179	Chirurgie inter specialites	D26C25	D26C25G179
01C09	Pose d'un stimulateur cerebral	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	C03	Neurostimulateurs	G045	Pose stimulateur cerebral / medullaire	D05C03	D05C03G045
01C10	Pose d'un stimulateur medullaire	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	C03	Neurostimulateurs	G045	Pose stimulateur cerebral / medullaire	D05C03	D05C03G045
01C11	Craniotomies pour tumeurs, age inferieur a 18 ans	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	C02	Chirurgie du rachis, Neuro-chirurgie	G044	Chirurgies SNC hors trauma (rachis et moelle exceptes)	D05C02	D05C02G044
01C12	Craniotomies pour affections non tumorales, age inferieur a 18 ans	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	C02	Chirurgie du rachis, Neuro-chirurgie	G044	Chirurgies SNC hors trauma (rachis et moelle exceptes)	D05C02	D05C02G044
01C14	Liberations de nerfs superficiels a l'exception du median au canal carpien	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G029	Chirurgies main, poignet	D02C11	D02C11G029
01C15	Liberations du median au canal carpien	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G029	Chirurgies main, poignet	D02C11	D02C11G029
01K02	Autres embolisations intracraniennes et medullaires	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G060	Catheterisme therapeutiques vasculaires du systeme nerveux 	D06K05	D06K05G060
01K03	Autres actes therapeutiques par voie vasculaire du systeme nerveux	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G060	Catheterisme therapeutiques vasculaires du systeme nerveux 	D06K05	D06K05G060
01K04	Injections de toxine botulique, en ambulatoire	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	K03	Neurologie medicale avec Acte classant non operatoire, ou anesthesie	G196	'Injections de toxine botulique, en ambulatoire	D05K03	D05K03G196
01K05	Sejours pour douleurs chroniques rebelles comprenant un bloc ou une infiltration, en ambulatoire	M	D24	Douleurs chroniques, Soins palliatifs	K11	Douleur chroniques, avec bloc ou infiltration, en ambulatoire	G205	Sejours pour douleurs chroniques rebelles comprenant un bloc ou une infiltration, en ambulatoire	D24K11	D24K11G205
01K06	Affections du systeme nerveux sans acte operatoire avec anesthesie, en ambulatoire	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	K03	Neurologie medicale avec Acte classant non operatoire, ou anesthesie	G197	Affections du systeme nerveux sans acte operatoire avec anesthesie, en ambulatoire	D05K03	D05K03G197
01K07	Embolisations intracraniennes et medullaires pour hemorragie	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G060	Catheterisme therapeutiques vasculaires du systeme nerveux 	D06K05	D06K05G060
01M04	Meningites virales	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G053	Infections SNC	D05X03	D05X03G053
01M05	Infections du systeme nerveux a l'exception des meningites virales	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G053	Infections SNC	D05X03	D05X03G053
01M07	Maladies degeneratives du systeme nerveux, age superieur a 79 ans	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G047	Affections degeneratives du systeme nerveux	D05X03	D05X03G047
01M08	Maladies degeneratives du systeme nerveux, age inferieur a 80 ans	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G047	Affections degeneratives du systeme nerveux	D05X03	D05X03G047
01M09	Affections et lesions du rachis et de la moelle	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G048	Affections nerfs craniens / moëlle	D05X03	D05X03G048
01M10	Autres affections cerebrovasculaires	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G049	AVC	D05X03	D05X03G049
01M11	Affections des nerfs craniens et rachidiens	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G048	Affections nerfs craniens / moëlle	D05X03	D05X03G048
01M12	Autres affections du systeme nerveux	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G055	Autres affections du systeme nerveux	D05X03	D05X03G055
01M13	Troubles de la conscience et comas d'origine non traumatique	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G050	Comas non traumatiques	D05X03	D05X03G050
01M15	Accidents ischemiques transitoires et occlusions des arteres precerebrales, age superieur a 79 ans	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G049	AVC	D05X03	D05X03G049
01M16	Accidents ischemiques transitoires et occlusions des arteres precerebrales, age inferieur a 80 ans	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G049	AVC	D05X03	D05X03G049
01M17	Sclerose en plaques et ataxie cerebelleuse	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G047	Affections degeneratives du systeme nerveux	D05X03	D05X03G047
01M18	Lesions traumatiques intracraniennes severes	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X04	Commotions cerebrales, Traumatismes craniens	G046	Trauma craniens	D05X04	D05X04G046
01M19	Autres lesions traumatiques intracraniennes, sauf commotions	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X04	Commotions cerebrales, Traumatismes craniens	G046	Trauma craniens	D05X04	D05X04G046
01M20	Commotions cerebrales	C	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X04	Commotions cerebrales, Traumatismes craniens	G046	Trauma craniens	D05X04	D05X04G046
01M21	Douleurs chroniques rebelles	M	D24	Douleurs chroniques, Soins palliatifs	X22	Douleur et soins palliatifs	G177	Douleurs chroniques	D24X22	D24X22G177
01M22	Migraines et cephalees	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G051	Migraines et cephalees	D05X03	D05X03G051
01M23	Convulsions hyperthermiques	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G052	Convulsions, epilepsie	D05X03	D05X03G052
01M24	Epilepsie, age inferieur a 18 ans	M	D05	Systeme nerveux (hors catheterismes vasculaires diagnostiques et interventionnels)	X03	Neurologie medicale	G052	Convulsions, epilepsie	D05X03	D05X03G052
