Type	LibelleIpop
	Ablation de corps étranger/fécalome intrarectal, voie anale
	Amputation abdominopérinéale, coelioscopie
	Amputation abdominopérinéale, laparotomie
	Anastomose pancréaticojéjunale, laparotomie
	Appendicectomie, coelioscopie
	Appendicectomie, laparotomie
	Biopsie ganglionnaire
	Bisegmentectomie hépatique, laparotomie
	Chirurgie du reflux gastro-oesophagien, coelioscopie
	Chirurgie du reflux gastro-oesophagien, laparotomie
	Cholecystectomie, coelioscopie
	Cholecystectomie, laparotomie
	Coelioscopie exploratrice
Résections colorectales	Colectomie (sub)totale, avec/sans anastomose, laparotomie
Résections colorectales	Colectomie (sub)totale, sans anastomose, coelioscopie
Résections colorectales	Colectomie (sub)totale, sans anastomose, laparotomie
Résections colorectales	Colectomie droite, avec anastomose, coelioscopie
Résections colorectales	Colectomie droite, avec anastomose, laparotomie
Résections colorectales	Colectomie droite, sans anastomose, coelioscopie
Résections colorectales	Colectomie droite, sans anastomose, laparotomie
Résections colorectales	Colectomie gauche, avec anastomose, coelioscopie
Résections colorectales	Colectomie gauche, avec anastomose, laparotomie
Résections colorectales	Colectomie gauche, avec anastomose/mobilisation angle gauche, coelioscopie
Résections colorectales	Colectomie gauche, avec anastomose/mobilisation angle gauche, laparotomie
Résections colorectales	Colectomie gauche, sans anastomose , laparotomie
Résections colorectales	Colectomie gauche, sans anastomose, coelioscopie
Résections colorectales	Colectomie totale, avec anastomose, coelioscopie
Résections colorectales	Colectomie transverse, avec/sans anastomose, laparotomie
	Coloplastie aprés oesophagectomie pour lésion caustique
Résections colorectales	Coloproctectomie totale, avec anastomose iléoanale, coelioscopie
Résections colorectales	Coloproctectomie totale, avec iléostomie, coelioscopie
	Curage axillaire
	Curage cervical
	Curage inguinal
	Cure d'éventration (grande) post opératoire avec prothése, coelioscopie
	Cure d'éventration (grande) post opératoire avec prothése, laparotomie
	Cure d'éventration (grande) post opératoire sans prothése, coelioscopie
	Cure d'éventration (grande) post opératoire sans prothése, laparotomie
	Cure d'éventration (petite) post opératoire avec prothése, coelioscopie
	Cure d'éventration (petite) post opératoire avec prothése, laparotomie
	Cure d'éventration (petite) post opératoire sans prothése, laparotomie
	Cure de hernie bilatérale de l'aine avec prothése
	cure de hernie bilatérale de l'aine sous coelioscopie
	Cure de hernie de l'aine avec prothése
	Cure de hernie de l'aine sans prothése
	cure de hernie de l'aine sous coelioscopie
	Cure de hernie de la ligne blanche avec prothése
	Cure de hernie de la ligne blanche sans prothése
	Cure de hernie hiatale/d'éventration diaphragmatique, coelioscopie
	Cure de hernie hiatale/d'éventration diaphragmatique, laparotomie
	Cure de hernie ombilicale avec prothése
	Cure de hernie ombilicale sans prothése
	Cure de prolapsus rectal et rectocéle selon Altmeier
	Cure de prolapsus rectal et rectocéle selon Delorme
	Dérivation biliaire, laparotomie
	Dérivation estomac et duodénum, laparotomie
	Dérivation interne du grêle/du colon, laparotomie
	Destruction de lésions périnéales
	Destruction ou exérése de lésion du rectum, voie anale
	Destruction/excision d'autre lésion de l'anus
	Destruction/exérése de lésion du péritoine, laparotomie
	Duodénopancréatectomie céphalique, laparotomie
	Entérostomie/colostomie, coelioscopie
	Entérostomie/colostomie, laparotomie
	Entérotomie ou colotomie exploratrice, laparotomie
	Eviscération
	Examen du rectum sous anesthésie générale, voie anale
	Exérése d'un sinus pilonidal
	Exérése de tumeur sous-cutanée
	Exérése de tumeur/masse intra-abdominale
