SUP	LIB	GHS	val.deb	val.fin	V.Tarifs	TARIF
NN1	Supplément néonatalogie		01/03/2008	01/03/2009	2009v1	306.47
NN2	Supplément néonatologie avec soins intensifs		01/03/2008	01/03/2009	2009v1	459.71
NN3	Supplément réanimation néonatale		01/03/2008	01/03/2009	2009v1	919.42
PO1	Prélèvements du ou des reins et/ou du foie		01/03/2008	01/03/2009	2009v1	7283
PO2	Prélèvements du ou des reins. du foie. du coeur. du pancréas. du /ou des poumons et/ou de l intestin. ou prélèvement d au moins 7 organes		01/03/2008	01/03/2009	2009v1	10251
PO3	Autres prélèvements d organes		01/03/2008	01/03/2009	2009v1	8429
PO4	Prélèvements d organes sur coeur arrêté		01/03/2008	01/03/2009	2009v1	11182
PO5	Prélèvement de rein(s)		01/03/2008	01/03/2009	2009v1	402
PO6	Prélèvement du foie		01/03/2008	01/03/2009	2009v1	402
PO7	Prélèvement de poumon(s)		01/03/2008	01/03/2009	2009v1	513
PO8	Prélèvement de coeur ou du bloc		01/03/2008	01/03/2009	2009v1	482
PO9	Prélèvement de pancréas		01/03/2008	01/03/2009	2009v1	603
REA	Supplément de réanimation		01/03/2008	01/03/2009	2009v1	811.18
REP	Supplément de réanimation pédiatrie.		01/03/2008	01/03/2009	2009v1	919.42
SRC	Supplément de surveillance continue		01/03/2008	01/03/2009	2009v1	270.39
STF	Supplément de soins intensifs		01/03/2008	01/03/2009	2009v1	406.08
DIALYSE		9503	01/03/2008	01/03/2009	2009v1	375.17
REP	Supplément de réanimation pédiatrie.		01/03/2009	01/03/2010	2009v2	922.98
REA	Supplément de réanimation.		01/03/2009	01/03/2010	2009v2	814.32
STF	Supplément de soins intensifs.		01/03/2009	01/03/2010	2009v2	407.65
SRC	Supplément de surveillance continue.		01/03/2009	01/03/2010	2009v2	326.12
NN1	Supplément néonatalogie.		01/03/2009	01/03/2010	2009v2	307.66
NN2	Supplément néonatologie avec soins intensifs.		01/03/2009	01/03/2010	2009v2	461.49
NN3	Supplément réanimation néonatale.		01/03/2009	01/03/2010	2009v2	922.98
D12	Forfait d'autodialyse simple.		01/03/2009	01/03/2010	2009v2	232.64
D13	Forfait d'autodialyse assistée.		01/03/2009	01/03/2010	2009v2	238.87
D14	Forfait d'hémodialyse à domicile.		01/03/2009	01/03/2010	2009v2	206.38
