version	v.deb	v.fin	V.Tarifs	t.deb	t.fin	 anseqta
9	01/03/2005	01/01/2006	2005v1	01/03/2005	01/03/2006	2005
9	01/01/2006	15/03/2006	2006v1	01/01/2006	15/03/2006	2005
10	15/03/2006	01/03/2007	2006v2	15/03/2006	01/06/2006	2006
10	15/03/2006	01/03/2007	2006v3	01/06/2006	01/09/2006	2006
10	15/03/2006	01/03/2007	2006v4	01/09/2006	01/01/2007	2006
10	01/01/2007	01/03/2007	2007v1	01/01/2007	01/03/2007	2006
10b	01/03/2007	01/03/2008	2007v2	01/03/2007	01/01/2008	2007
10b	01/03/2007	01/03/2008	2008v1	01/01/2008	01/03/2008	2007
10c	01/03/2008	01/03/2009	2008v2	01/03/2008	01/01/2009	2008
10c	01/03/2008	01/03/2009	2009v1	01/01/2009	01/03/2009	2008
11	01/03/2009	01/03/2010	2009v2	01/03/2009	01/01/2010	2009
11	01/03/2009	01/03/2010	2010v1	01/01/2010	01/03/2010	2009
11b	01/03/2010	01/03/2011	2010v2	01/03/2010	01/01/2011	2010
11b	01/03/2010	01/03/2011	2011v1	01/01/2011	01/03/2011	2010
11c	01/03/2011	01/03/2012	2011v2	01/03/2011	01/01/2012	2011
11c	01/03/2011	01/03/2012	2012v1	01/01/2012	01/03/2012	2011
11d	01/03/2012	01/03/2013	2012v2	01/03/2012	01/01/2013	2012
11d	01/03/2012	01/03/2013	2013v1	01/01/2013	01/03/2013	2012
11e	01/03/2013	01/03/2014	2013v2	01/03/2013	01/01/2014	2013
11e	01/03/2013	01/03/2014	2014v1	01/01/2014	01/03/2014	2013
11f	01/03/2014	01/03/2015	2014v2	01/03/2014	01/01/2015	2014
11f	01/03/2014	01/03/2015	2015v1	01/01/2015	01/03/2015	2014
11g	01/03/2015	31/03/2016	2015v2	01/03/2015	01/01/2016	2015
11g	01/03/2015	31/03/2016	2016v1	01/01/2016	01/03/2016	2015
11h	01/03/2016	31/03/2017	2016v2	01/03/2016	01/01/2017	2016
11h	01/03/2016	31/03/2017	2017v1	01/01/2017	01/03/2017	2016
v2017	01/03/2017	31/03/2018	2017v2	01/03/2017	01/01/2018	2017
v2017	01/03/2017	31/03/2018	2018v1	01/01/2018	01/03/2018	2017
v2018	01/03/2018	31/03/2019	2018v2	01/03/2018	01/01/2019	2018
v2018	01/03/2018	31/03/2019	2019v1	01/01/2019	01/03/2019	2018
v2019	01/03/2019	31/03/2020	2019v2	01/03/2019	01/01/2020	2019
